targets,targetNames,trial_num,block_num,start_x,start_z,object_x,object_z,quadrant,cue,delay,ITI,trialType,speedForward,rotationSpeed,messageToDisplay,start_yRotation
22,drill,1,1,0,0,26.25,15.1554445,2,1,0.2,1.5,encoding,20,60,-1,182.064297711477
18,clarinet,2,1,0,0,-43.75,-45.4663337649107,3,1,0.2,1.5,encoding,20,60,-1,71.1105435993522
28,insulating_tape,3,1,0,0,43.75,45.4663336324554,2,1,0.2,1.5,encoding,20,60,-1,114.199749547988
30,keyboard,4,1,0,0,61.25,-45.4663337649107,4,1,0.2,1.5,encoding,20,60,-1,168.411051593721
23,elephant,5,1,0,0,61.25,15.1554445,2,1,0.2,1.5,encoding,20,60,-1,48.3475407678634
15,apple,6,1,0,0,-43.75,15.1554445,1,1,0.2,1.5,encoding,20,60,-1,145.764757543802
20,deer,7,1,0,0,43.75,-15.1554446324554,4,1,0.2,1.5,encoding,20,60,-1,306.780633078888
32,measurement_tape,8,1,0,0,-8.75,15.1554445,1,1,0.2,1.5,encoding,20,60,-1,80.0516437646002
17,chimpanzee,9,1,0,0,-26.25,-15.1554446324554,3,1,0.2,1.5,encoding,20,60,-1,312.280696621165
21,dog,10,1,0,0,26.25,-45.4663337649107,4,1,0.2,1.5,encoding,20,60,-1,267.456601085141
19,cutter_knife,11,1,0,0,-8.75,-45.4663337649107,3,1,0.2,1.5,encoding,20,60,-1,356.714553125203
24,guitar,12,1,0,0,8.75,45.4663336324554,2,1,0.2,1.5,encoding,20,60,-1,184.266233397648
31,lemon,13,1,0,0,-26.25,45.4663336324554,1,1,0.2,1.5,encoding,20,60,-1,29.4153760559857
33,orange,14,1,0,0,8.75,-15.1554446324554,4,1,0.2,1.5,encoding,20,60,-1,118.693229081109
16,banana,15,1,0,0,-61.25,-15.1554446324554,3,1,0.2,1.5,encoding,20,60,-1,346.605775645003
26,harmonica,16,1,0,0,-61.25,45.4663336324554,1,1,0.2,1.5,encoding,20,60,-1,298.629900617525
31,lemon,17,2,0,0,-26.25,45.4663336324554,1,1,0.2,1.5,retrieval,20,60,-1,206.690638521686
