trial_num,block_num,targets,targetNames,start_x,start_z,object_x,object_z,cue,delay,ITI,trialType,speedForward,rotationSpeed,messageToDisplay,start_yRotation
1,1,1,Barrel,67.1888929442503,1.34106850018725,14.7013847739436,-36.1259522265755,2,1.5,1.5,encoding,15,50,-1,121.376639977098
2,1,4,Traffic cone,64.3192254588939,0.341976899653673,-51.4900343446061,38.327445529867,2,1.5,1.5,encoding,15,50,0,134.915849547833
13,2,4,Traffic cone,8.05634390562773,-5.81600619480014,-51.4900343446061,38.327445529867,2,1.5,1.5,retrieval,15,50,-1,196.578715061769
14,2,13,Vase,-13.9895350090228,-43.0171215673909,-23.550670533441,31.8639129656367,2,1.5,1.5,retrieval,15,50,-1,83.7572600226849
15,2,4,Traffic cone,62.7725064754486,-10.2125707548112,-51.4900343446061,38.327445529867,2,1.5,1.5,retrieval,15,50,-1,347.011444503441
16,2,11,Pawn,21.8032258562744,66.4860832155682,-14.2223813710734,0.0355066452175379,2,1.5,1.5,retrieval,15,50,-1,86.1506371200085
17,2,13,Vase,32.9997899243608,-58.3941760822199,-23.550670533441,31.8639129656367,2,1.5,1.5,retrieval,15,50,-1,126.350910170004
18,2,1,Barrel,-70.9190144087188,-19.5066305575892,14.7013847739436,-36.1259522265755,2,1.5,1.5,retrieval,15,50,-1,219.507467262447
19,2,6,Donut,58.2569533959031,-8.88521843589842,43.5127303609625,7.77553781634197,2,1.5,1.5,retrieval,15,50,-1,78.6144008394331
20,2,4,Traffic cone,-33.4498711978085,-39.2324439017102,-51.4900343446061,38.327445529867,2,1.5,1.5,retrieval,15,50,-1,83.3699978236109
21,2,1,Barrel,12.2045813826844,12.238335236907,14.7013847739436,-36.1259522265755,2,1.5,1.5,retrieval,15,50,-1,241.219939431176
22,2,6,Donut,73.9736901596189,10.001876426395,43.5127303609625,7.77553781634197,2,1.5,1.5,retrieval,15,50,-1,149.317610012367
23,2,11,Pawn,36.3902373472229,-7.78149162651971,-14.2223813710734,0.0355066452175379,2,1.5,1.5,retrieval,15,50,-1,148.745463900268
24,2,13,Vase,-64.2092586611398,32.8079523635097,-23.550670533441,31.8639129656367,2,1.5,1.5,retrieval,15,50,-1,204.36332331039
25,2,1,Barrel,-64.0512728830799,31.0132210724987,14.7013847739436,-36.1259522265755,2,1.5,1.5,retrieval,15,50,-1,117.005211515352
26,2,11,Pawn,12.9646883695386,29.8669001553208,-14.2223813710734,0.0355066452175379,2,1.5,1.5,retrieval,15,50,-1,237.928346693516
27,2,8,Football,-8.80783736938611,33.4357825457118,-15.3360125888139,-39.591026972048,2,1.5,1.5,retrieval,15,50,-1,42.8449106868356
28,2,6,Donut,51.2655103113502,50.4339629318565,43.5127303609625,7.77553781634197,2,1.5,1.5,retrieval,15,50,-1,354.917772067711
29,2,4,Traffic cone,-62.281199474819,13.0480450345203,-51.4900343446061,38.327445529867,2,1.5,1.5,retrieval,15,50,-1,48.7760630529374
30,2,8,Football,29.7723046503961,-51.0274296160787,-15.3360125888139,-39.591026972048,2,1.5,1.5,retrieval,15,50,-1,323.492523757741
31,2,6,Donut,-43.9341115881689,-4.99674888560548,43.5127303609625,7.77553781634197,2,1.5,1.5,retrieval,15,50,-1,168.471783762798
32,2,8,Football,-46.7353498796001,-6.6030949819833,-15.3360125888139,-39.591026972048,2,1.5,1.5,retrieval,15,50,-1,68.6394646670669
33,2,6,Donut,-60.6513598468155,29.2900855536573,43.5127303609625,7.77553781634197,2,1.5,1.5,retrieval,15,50,-1,39.4484489411116
34,2,11,Pawn,32.4652611510828,39.2052675713785,-14.2223813710734,0.0355066452175379,2,1.5,1.5,retrieval,15,50,-1,214.867176432163
35,2,8,Football,4.12315756548196,12.9517467110418,-15.3360125888139,-39.591026972048,2,1.5,1.5,retrieval,15,50,-1,163.03998763673
36,2,4,Traffic cone,-72.2324659349397,3.49282391835004,-51.4900343446061,38.327445529867,2,1.5,1.5,retrieval,15,50,-1,33.4483377356082
37,2,1,Barrel,-9.58629136439413,40.9282137290575,14.7013847739436,-36.1259522265755,2,1.5,1.5,retrieval,15,50,-1,34.8455525469035
38,2,13,Vase,-51.229253411293,-41.2800939171575,-23.550670533441,31.8639129656367,2,1.5,1.5,retrieval,15,50,-1,235.391049552709
39,2,8,Football,9.35818806756288,9.91474993061274,-15.3360125888139,-39.591026972048,2,1.5,1.5,retrieval,15,50,-1,156.014652745798
40,2,1,Barrel,41.8862671474926,-16.4912527659908,14.7013847739436,-36.1259522265755,2,1.5,1.5,retrieval,15,50,-1,290.215592170134
41,2,11,Pawn,-46.3154229219072,32.7007329440676,-14.2223813710734,0.0355066452175379,2,1.5,1.5,retrieval,15,50,-1,175.809593489394
42,2,13,Vase,15.923282050062,40.5105024576187,-23.550670533441,31.8639129656367,2,1.5,1.5,retrieval,15,50,1,190.096563789994
43,3,11,Pawn,33.7432334083132,48.6221587867476,-14.2223813710734,0.0355066452175379,2,1.5,1.5,retrieval,15,50,-1,169.959843652323
44,3,4,Traffic cone,-10.2040828554891,-31.3636014587246,-51.4900343446061,38.327445529867,2,1.5,1.5,retrieval,15,50,-1,122.450039740652
45,3,6,Donut,2.73015863494948,-41.0393111757003,43.5127303609625,7.77553781634197,2,1.5,1.5,retrieval,15,50,-1,164.474589591846
46,3,1,Barrel,-46.4130701031536,-55.7764471624978,14.7013847739436,-36.1259522265755,2,1.5,1.5,retrieval,15,50,-1,38.0869474913925
47,3,11,Pawn,-60.7718069921248,22.3226136993617,-14.2223813710734,0.0355066452175379,2,1.5,1.5,retrieval,15,50,-1,97.36163277179
48,3,1,Barrel,-62.7570460201241,-11.1400606809184,14.7013847739436,-36.1259522265755,2,1.5,1.5,retrieval,15,50,-1,345.403726827353
49,3,8,Football,15.4904178692959,70.8343575708568,-15.3360125888139,-39.591026972048,2,1.5,1.5,retrieval,15,50,-1,182.551759947091
50,3,13,Vase,7.55662713199854,-59.4635213725269,-23.550670533441,31.8639129656367,2,1.5,1.5,retrieval,15,50,-1,343.269189018756
51,3,6,Donut,-72.0159835531376,12.2493034810759,43.5127303609625,7.77553781634197,2,1.5,1.5,retrieval,15,50,-1,279.96815613471
52,3,8,Football,-38.8122034957632,-26.0300798574463,-15.3360125888139,-39.591026972048,2,1.5,1.5,retrieval,15,50,-1,334.039885913953
53,3,13,Vase,-37.6789075671695,5.21801632130519,-23.550670533441,31.8639129656367,2,1.5,1.5,retrieval,15,50,-1,332.690347870812
54,3,1,Barrel,-44.7058874065988,52.4574175709859,14.7013847739436,-36.1259522265755,2,1.5,1.5,retrieval,15,50,-1,10.6862167641521
55,3,13,Vase,0.392522220499814,50.6907350267284,-23.550670533441,31.8639129656367,2,1.5,1.5,retrieval,15,50,-1,327.894481122494
56,3,4,Traffic cone,55.0149909686297,-12.8289354848675,-51.4900343446061,38.327445529867,2,1.5,1.5,retrieval,15,50,-1,32.6575801894069
57,3,8,Football,37.0011780643836,-42.7431040559895,-15.3360125888139,-39.591026972048,2,1.5,1.5,retrieval,15,50,-1,239.643633272499
