targets,trial_num,start_x,start_z,object_x,object_z,quadrant,cue,delay,ITI,trialType,speedForward,rotationSpeed,messageToDisplay,start_yRotation
15,1,0,0,-7.5,-43.1217782649107,3,2,2,2,encoding,10,50,-1,278.145688064396
19,2,0,0,27.5,-43.1217782649107,4,2,2,2,encoding,10,50,-1,296.720586642623
33,3,0,0,27.5,17.5,2,2,2,2,encoding,10,50,-1,331.796605316922
23,4,0,0,-60,-12.8108891324554,3,2,2,2,encoding,10,50,-1,262.38746275194
21,5,0,0,-25,-12.8108891324554,3,2,2,2,encoding,10,50,-1,324.186147116125
17,6,0,0,-25,47.8108891324554,1,2,2,2,encoding,10,50,-1,163.538834927604
18,7,0,0,10,47.8108891324554,2,2,2,2,encoding,10,50,-1,243.515087245032
22,8,0,0,-60,47.8108891324554,1,2,2,2,encoding,10,50,-1,217.642193315551
20,9,0,0,45,-12.8108891324554,4,2,2,2,encoding,10,50,-1,75.7152636442333
24,10,0,0,62.5,17.5,2,2,2,2,encoding,10,50,-1,119.524048771709
26,11,0,0,-7.5,17.5,1,2,2,2,encoding,10,50,-1,185.293500758708
31,12,0,0,10,-12.8108891324554,4,2,2,2,encoding,10,50,-1,329.162630215287
30,13,0,0,-42.5,-43.1217782649107,3,2,2,2,encoding,10,50,-1,267.921551624313
32,14,0,0,-42.5,17.5,1,2,2,2,encoding,10,50,-1,78.5707159526646
16,15,0,0,45,47.8108891324554,2,2,2,2,encoding,10,50,-1,295.016824677587
28,16,0,0,62.5,-43.1217782649107,4,2,2,2,encoding,10,50,-1,260.146900657564
