time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,moving
57.60318,-16.35315,2,60.11575,-0.000001,328.115,0.000001,False
57.60605,-16.35315,2,60.11575,-0.000001,328.115,0.000001,False
57.6088,-16.35315,2,60.11575,-0.000001,328.115,0.000001,False
57.61184,-16.35315,2,60.11575,-0.000001,328.115,0.000001,False
57.61629,-16.35315,2,60.11575,-0.000001,328.115,0.000001,False
57.62035,-16.35315,1.996076,60.11575,-0.000001,328.115,0.000001,False
57.62355,-16.35315,1.996076,60.11575,-0.000001,328.115,0.000001,False
57.62629,-16.35315,1.996076,60.11575,-0.000001,328.115,0.000001,False
57.6331,-16.35315,1.996076,60.11575,-0.000001,328.115,0.000001,False
57.6357,-16.35315,1.996076,60.11575,-0.000001,328.115,0.000001,False
57.63844,-16.35315,1.996076,60.11575,-0.000001,328.115,0.000001,False
57.64088,-16.35315,1.988228,60.11575,-0.000001,328.115,0.000001,False
57.64403,-16.35315,1.988228,60.11575,-0.000001,328.115,0.000001,False
57.64647,-16.35315,1.988228,60.11575,-0.000001,328.115,0.000001,False
57.64891,-16.35315,1.988228,60.11575,-0.000001,328.115,0.000001,False
57.65187,-16.35315,1.988228,60.11575,-0.000001,328.115,0.000001,False
57.65429,-16.35315,1.988228,60.11575,-0.000001,328.115,0.000001,False
57.65678,-16.35315,1.988228,60.11575,-0.000001,328.115,0.000001,False
57.65974,-16.35315,1.988228,60.11575,-0.000001,328.115,0.000001,False
57.66215,-16.35315,1.976456,60.11575,-0.000001,328.115,0.000001,False
57.6652,-16.35315,1.976456,60.11575,-0.000001,328.115,0.000001,False
57.66759,-16.35315,1.976456,60.11575,-0.000001,328.115,0.000001,False
57.66995,-16.35315,1.976456,60.11575,-0.000001,328.115,0.000001,False
57.67303,-16.35315,1.976456,60.11575,-0.000001,328.115,0.000001,False
57.67548,-16.35315,1.976456,60.11575,-0.000001,328.115,0.000001,False
57.67823,-16.35315,1.976456,60.11575,-0.000001,328.115,0.000001,False
57.68079,-16.35315,1.96076,60.11575,-0.000001,328.115,0.000001,False
57.68335,-16.35315,1.96076,60.11575,-0.000001,328.115,0.000001,False
57.68622,-16.35315,1.96076,60.11575,-0.000001,328.115,0.000001,False
57.68869,-16.35315,1.96076,60.11575,-0.000001,328.115,0.000001,False
57.69115,-16.35315,1.96076,60.11575,-0.000001,328.115,0.000001,False
57.69386,-16.35315,1.96076,60.11575,-0.000001,328.115,0.000001,False
57.69632,-16.35315,1.96076,60.11575,-0.000001,328.115,0.000001,False
57.69934,-16.35315,1.96076,60.11575,-0.000001,328.115,0.000001,False
57.70198,-16.35315,1.94114,60.11575,-0.000001,328.115,0.000001,False
57.70461,-16.35315,1.94114,60.11575,-0.000001,328.115,0.000001,False
57.70764,-16.35315,1.94114,60.11575,-0.000001,328.115,0.000001,False
57.71004,-16.35315,1.94114,60.11575,-0.000001,328.115,0.000001,False
57.71262,-16.35315,1.94114,60.11575,-0.000001,328.115,0.000001,False
57.71541,-16.35315,1.94114,60.11575,-0.000001,328.115,0.000001,False
57.71791,-16.35315,1.94114,60.11575,-0.000001,328.115,0.000001,False
57.72081,-16.35315,1.917596,60.11575,-0.000001,328.115,0.000001,False
57.72341,-16.35315,1.917596,60.11575,-0.000001,328.115,0.000001,False
57.72596,-16.35315,1.917596,60.11575,-0.000001,328.115,0.000001,False
57.72879,-16.35315,1.917596,60.11575,-0.000001,328.115,0.000001,False
57.7316,-16.35315,1.917596,60.11575,-0.000001,328.115,0.000001,False
57.73462,-16.35315,1.917596,60.11575,-0.000001,328.115,0.000001,False
57.73699,-16.35315,1.917596,60.11575,-0.000001,328.115,0.000001,False
57.73939,-16.35315,1.917596,60.11575,-0.000001,328.115,0.000001,False
57.74241,-16.35315,1.890128,60.11575,-0.000001,328.115,0.000001,False
57.74503,-16.35315,1.890128,60.11575,-0.000001,328.115,0.000001,False
57.74788,-16.35315,1.890128,60.11575,-0.000001,328.115,0.000001,False
57.75061,-16.35315,1.890128,60.11575,-0.000001,328.115,0.000001,False
57.75306,-16.35315,1.890128,60.11575,-0.000001,328.115,0.000001,False
57.75604,-16.35315,1.890128,60.11575,-0.000001,328.115,0.000001,False
57.75843,-16.35315,1.890128,60.11575,-0.000001,328.115,0.000001,False
57.76129,-16.35315,1.858736,60.11575,-0.000001,328.115,0.000001,False
57.76423,-16.35315,1.858736,60.11575,-0.000001,328.115,0.000001,False
57.76659,-16.35315,1.858736,60.11575,-0.000001,328.115,0.000001,False
57.76956,-16.35315,1.858736,60.11575,-0.000001,328.115,0.000001,False
57.77205,-16.35315,1.858736,60.11575,-0.000001,328.115,0.000001,False
57.77446,-16.35315,1.858736,60.11575,-0.000001,328.115,0.000001,False
57.77736,-16.35315,1.858736,60.11575,-0.000001,328.115,0.000001,False
