time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,moving
71.00532,10.82916,2,2.652757,-0.000003,197.6876,0.000005,False
71.01173,10.82916,2,2.652757,-0.000003,197.6876,0.000005,False
71.01823,10.82916,2,2.652757,-0.000003,197.6876,0.000005,False
71.02571,10.82916,1.996076,2.652757,-0.000003,197.6876,0.000005,False
71.03287,10.82916,1.996076,2.652757,-0.000003,197.6876,0.000005,False
71.03967,10.82916,1.996076,2.652757,-0.000003,197.6876,0.000005,False
71.04729,10.82916,1.988228,2.652757,-0.000003,197.6876,0.000005,False
71.05424,10.82916,1.988228,2.652757,-0.000003,197.6876,0.000005,False
71.06148,10.82916,1.976456,2.652757,-0.000003,197.6876,0.000005,False
71.06786,10.82916,1.976456,2.652757,-0.000003,197.6876,0.000005,False
71.07484,10.82916,1.976456,2.652757,-0.000003,197.6876,0.000005,False
71.08228,10.82916,1.96076,2.652757,-0.000003,197.6876,0.000005,False
71.08897,10.82916,1.96076,2.652757,-0.000003,197.6876,0.000005,False
71.09563,10.82916,1.96076,2.652757,-0.000003,197.6876,0.000005,False
71.10773,10.82916,1.94114,2.652757,-0.000003,197.6876,0.000005,False
71.12878,10.82916,1.917596,2.652757,-0.000003,197.6876,0.000005,False
71.13357,10.82916,1.917596,2.652757,-0.000003,197.6876,0.000005,False
71.14559,10.82916,1.890128,2.652757,-0.000003,197.6876,0.000005,False
71.15595,10.82916,1.890128,2.652757,-0.000003,197.6876,0.000005,False
71.17071,10.82916,1.858736,2.652757,-0.000003,197.6876,0.000005,False
71.17782,10.82916,1.858736,2.652757,-0.000003,197.6876,0.000005,False
71.18542,10.82916,1.82342,2.652757,-0.000003,197.6876,0.000005,False
71.189,10.82916,1.82342,2.652757,-0.000003,197.6876,0.000005,False
71.20223,10.82916,1.78418,2.652757,-0.000003,197.6876,0.000005,False
71.20827,10.82916,1.78418,2.652757,-0.000003,197.6876,0.000005,False
71.21632,10.82916,1.78418,2.652757,-0.000003,197.6876,0.000005,False
71.22359,10.82916,1.741016,2.652757,-0.000003,197.6876,0.000005,False
71.23035,10.82916,1.741016,2.652757,-0.000003,197.6876,0.000005,False
71.23616,10.82916,1.741016,2.652757,-0.000003,197.6876,0.000005,False
71.24258,10.82916,1.693928,2.652757,-0.000003,197.6876,0.000005,False
71.24879,10.82916,1.693928,2.652757,-0.000003,197.6876,0.000005,False
71.25608,10.82916,1.693928,2.652757,-0.000003,197.6876,0.000005,False
71.26244,10.82916,1.642916,2.652757,-0.000003,197.6876,0.000005,False
71.27012,10.82916,1.642916,2.652757,-0.000003,197.6876,0.000005,False
71.2765,10.82916,1.642916,2.652757,-0.000003,197.6876,0.000005,False
71.28371,10.82916,1.58798,2.652757,-0.000003,197.6876,0.000005,False
71.28996,10.82916,1.58798,2.652757,-0.000003,197.6876,0.000005,False
71.29697,10.82916,1.58798,2.652757,-0.000003,197.6876,0.000005,False
71.30515,10.82916,1.52912,2.652757,-0.000003,197.6876,0.000005,False
71.31187,10.82916,1.52912,2.652757,-0.000003,197.6876,0.000005,False
71.31846,10.82916,1.52912,2.652757,-0.000003,197.6876,0.000005,False
71.32615,10.82916,1.466336,2.652757,-0.000003,197.6876,0.000005,False
71.33295,10.82916,1.466336,2.652757,-0.000003,197.6876,0.000005,False
71.33918,10.82916,1.466336,2.652757,-0.000003,197.6876,0.000005,False
71.34698,10.82916,1.399628,2.652757,-0.000003,197.6876,0.000005,False
71.35281,10.82916,1.399628,2.652757,-0.000003,197.6876,0.000005,False
71.36012,10.82916,1.328996,2.652757,-0.000003,197.6876,0.000005,False
71.36688,10.82916,1.328996,2.652757,-0.000003,197.6876,0.000005,False
71.37358,10.82916,1.328996,2.652757,-0.000003,197.6876,0.000005,False
71.37997,10.82916,1.328996,2.652757,-0.000003,197.6876,0.000005,False
71.38688,10.82916,1.25444,2.652757,-0.000003,197.6876,0.000005,False
71.39337,10.82916,1.25444,2.652757,-0.000003,197.6876,0.000005,False
71.40021,10.82916,1.17596,2.652757,-0.000003,197.6876,0.000005,False
71.40707,10.82916,1.17596,2.652757,-0.000003,197.6876,0.000005,False
71.41374,10.82916,1.17596,2.652757,-0.000003,197.6876,0.000005,False
71.42075,10.82916,1.093556,2.652757,-0.000003,197.6876,0.000005,False
71.42792,10.82916,1.093556,2.652757,-0.000003,197.6876,0.000005,False
71.43467,10.82916,1.093556,2.652757,-0.000003,197.6876,0.000005,False
71.44131,10.82916,1.007228,2.652757,-0.000003,197.6876,0.000005,False
71.44809,10.82916,1.007228,2.652757,-0.000003,197.6876,0.000005,False
71.45509,10.82916,1.007228,2.652757,-0.000003,197.6876,0.000005,False
71.46152,10.82916,1.001446,2.652757,-0.000001,197.6876,0.000001,False
71.46943,10.82916,1.001446,2.652757,-0.000001,197.6876,0.000001,False
71.47503,10.82916,1.001446,2.652757,-0.000001,197.6876,0.000001,False
71.48214,10.82916,1.00029,2.652757,0,197.6876,0.000001,False
71.48814,10.82916,1.00029,2.652757,0,197.6876,0.000001,False
71.49569,10.82916,1.00029,2.652757,0,197.6876,0.000001,False
71.50127,10.82916,1.000058,2.652757,0.000001,197.6876,0.000001,False
71.50854,10.82916,1.000058,2.652757,0.000001,197.6876,0.000001,False
71.51495,10.82916,1.000058,2.652757,0.000001,197.6876,0.000001,False
71.5219,10.82916,1.000012,2.652757,0.000001,197.6876,0.000001,False
71.52857,10.82916,1.000012,2.652757,0.000001,197.6876,0.000001,False
71.53508,10.82916,1.000012,2.652757,0.000001,197.6876,0.000001,False
71.5417,10.82916,1.000002,2.652757,0.000002,197.6876,0.000002,False
71.54826,10.82916,1.000002,2.652757,0.000002,197.6876,0.000002,False
71.55535,10.82916,1.000002,2.652757,0.000002,197.6876,0.000002,False
71.56188,10.82916,1.000001,2.652757,0.000003,197.6876,0.000003,False
71.56951,10.82916,1.000001,2.652757,0.000003,197.6876,0.000003,False
71.57534,10.82916,1.000001,2.652757,0.000003,197.6876,0.000003,False
71.58257,10.82916,1,2.652757,0.000001,197.6876,0.000004,False
71.58953,10.82916,1,2.652757,0.000001,197.6876,0.000004,False
71.5958,10.82916,1,2.652757,0.000001,197.6876,0.000004,False
71.6021,10.82916,1,2.652757,0.000001,197.6876,0.000004,False
71.60896,10.82916,1,2.652757,0.000001,197.6876,0.000004,False
71.62495,10.82916,1,2.652757,0.000002,197.6876,0.000002,False
71.62967,10.82916,1,2.652757,0.000002,197.6876,0.000002,False
71.6358,10.82916,1,2.652757,0.000002,197.6876,0.000002,False
71.64442,10.82916,1,2.652757,0.000002,197.6876,0.000002,False
71.65231,10.82916,1,2.652757,0.000002,197.6876,0.000002,False
71.66013,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.66708,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.67358,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.68003,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.68578,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.6923,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.69877,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.70567,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.71244,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.71954,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.72622,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.73355,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.73985,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.74646,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.75335,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.76019,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.76792,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.77422,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.7813,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.79121,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.80021,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.80696,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.81301,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.82011,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.82617,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.83332,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.83936,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.84588,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.85203,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.8587,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.86542,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.87198,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.87864,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.88585,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.89235,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.89926,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.90633,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.91338,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.91959,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.92654,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.93237,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.93948,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.94604,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.95343,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.95961,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.96685,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.97427,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.98078,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.98795,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
71.99429,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
72.00108,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
72.00768,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
72.01539,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
72.02187,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
72.02818,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
72.03516,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
72.04121,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
72.04768,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
72.05447,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
72.06104,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
72.06783,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
72.07456,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
72.08189,10.82916,1,2.652757,0.000001,197.6876,0.000002,False
