time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,moving
34.6842,-62.15279,2,-12.13506,0,358.58,-0.000003,False
34.69532,-62.15279,2,-12.13506,0,358.58,-0.000003,False
34.70008,-62.15279,1.996076,-12.13506,0,358.58,-0.000003,False
34.70396,-62.15279,1.996076,-12.13506,0,358.58,-0.000003,False
34.7165,-62.15279,1.996076,-12.13506,0,358.58,-0.000003,False
34.72334,-62.15279,1.988228,-12.13506,0,358.58,-0.000003,False
34.72678,-62.15279,1.988228,-12.13506,0,358.58,-0.000003,False
34.73057,-62.15279,1.988228,-12.13506,0,358.58,-0.000003,False
34.73395,-62.15279,1.988228,-12.13506,0,358.58,-0.000003,False
34.73703,-62.15279,1.988228,-12.13506,0,358.58,-0.000003,False
34.74009,-62.15279,1.976456,-12.13506,0,358.58,-0.000003,False
34.7435,-62.15279,1.976456,-12.13506,0,358.58,-0.000003,False
34.7468,-62.15279,1.976456,-12.13506,0,358.58,-0.000003,False
34.74997,-62.15279,1.976456,-12.13506,0,358.58,-0.000003,False
34.75323,-62.15279,1.976456,-12.13506,0,358.58,-0.000003,False
34.75653,-62.15279,1.976456,-12.13506,0,358.58,-0.000003,False
34.75953,-62.15279,1.976456,-12.13506,0,358.58,-0.000003,False
34.76223,-62.15279,1.96076,-12.13506,0,358.58,-0.000003,False
34.76574,-62.15279,1.96076,-12.13506,0,358.58,-0.000003,False
34.76846,-62.15279,1.96076,-12.13506,0,358.58,-0.000003,False
34.77172,-62.15279,1.96076,-12.13506,0,358.58,-0.000003,False
34.77504,-62.15279,1.96076,-12.13506,0,358.58,-0.000003,False
34.77837,-62.15279,1.96076,-12.13506,0,358.58,-0.000003,False
34.78167,-62.15279,1.94114,-12.13506,0,358.58,-0.000003,False
34.78543,-62.15279,1.94114,-12.13506,0,358.58,-0.000003,False
34.78866,-62.15279,1.94114,-12.13506,0,358.58,-0.000003,False
34.79194,-62.15279,1.94114,-12.13506,0,358.58,-0.000003,False
34.79548,-62.15279,1.94114,-12.13506,0,358.58,-0.000003,False
34.79893,-62.15279,1.94114,-12.13506,0,358.58,-0.000003,False
34.80276,-62.15279,1.917596,-12.13506,0,358.58,-0.000003,False
34.80656,-62.15279,1.917596,-12.13506,0,358.58,-0.000003,False
34.80991,-62.15279,1.917596,-12.13506,0,358.58,-0.000003,False
34.81306,-62.15279,1.917596,-12.13506,0,358.58,-0.000003,False
34.81618,-62.15279,1.917596,-12.13506,0,358.58,-0.000003,False
