time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,moving
8.85318,-66.06745,2,14.588,-0.000005,0,-0.000059,False
8.890537,-66.06745,1.988228,14.588,-0.000005,0,-0.000059,False
8.91594,-66.06745,1.976456,14.588,-0.000005,0,-0.000059,False
8.922924,-66.06745,1.96076,14.588,-0.000005,0,-0.000059,False
8.960548,-66.06745,1.917596,14.588,-0.000005,0,-0.000059,False
9.000743,-66.06745,1.858736,14.588,-0.000005,0,-0.000059,False
9.011179,-66.06745,1.858736,14.588,-0.000005,0,-0.000059,False
9.034217,-66.06745,1.82342,14.588,-0.000005,0,-0.000059,False
9.040494,-66.06745,1.78418,14.588,-0.000005,0,-0.000059,False
9.07547,-66.06745,1.741016,14.588,-0.000005,0,-0.000059,False
9.112982,-66.06745,1.642916,14.588,-0.000005,0,-0.000059,False
9.121265,-66.06745,1.58798,14.588,-0.000005,0,-0.000059,False
9.129414,-66.06745,1.58798,14.588,-0.000005,0,-0.000059,False
9.187725,-66.06745,1.399628,14.588,-0.000005,0,-0.000059,False
9.195216,-66.06745,1.399628,14.588,-0.000005,0,-0.000059,False
9.206689,-66.06745,1.328996,14.588,-0.000005,0,-0.000059,False
9.23951,-66.06745,1.25444,14.588,-0.000005,0,-0.000059,False
9.260735,-66.06745,1.093556,14.588,-0.000005,0,-0.000059,False
9.281741,-66.06745,1.007228,14.588,-0.000005,0,-0.000059,False
9.302435,-66.06746,1.001445,14.58801,-0.000007,-0.000008,0.000246,False
9.323492,-66.06746,1.000289,14.58801,0.000013,-0.000016,0.000245,False
9.344378,-66.06746,1.000058,14.588,0.000019,-0.000018,0.00013,False
9.36663,-66.06745,1.000011,14.58801,-0.00001,-0.000013,0.000181,False
9.387676,-66.06745,1.000002,14.588,0.000015,-0.000005,-0.000149,False
9.409781,-66.06745,1,14.588,0.000003,-0.000004,-0.000055,False
9.430437,-66.06745,1,14.588,0,-0.000005,0.000021,False
9.451679,-66.06745,1,14.588,0.000001,-0.000007,0.000047,False
9.475356,-66.06745,1,14.588,0.000003,-0.000008,0.000046,False
9.500036,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
9.525123,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
9.550912,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
9.574459,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
9.599966,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
9.623467,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
9.648557,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
9.692945,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
9.705226,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
9.719013,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
9.753746,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
9.76956,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
9.789111,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
9.806087,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
9.82386,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
9.841989,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
9.861765,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
9.882581,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
9.901241,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
9.919367,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
9.936779,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
9.95531,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
9.973617,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
9.992413,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.01075,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.02859,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.04711,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.06459,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.08258,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.10125,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.1222,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.13715,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.1549,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.18943,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.1989,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.20628,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.24071,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.25828,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.28445,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.30843,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.33227,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.35429,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.37456,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.39488,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.41496,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.43409,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.45427,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.47495,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.4948,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.51379,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.53421,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.55517,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.5772,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.59848,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.61821,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.63807,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.66011,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.70448,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.71401,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.72717,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.76139,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.77783,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.79729,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.81663,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.83573,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.85532,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.87607,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
10.89824,-66.06745,1,14.588,0.000002,-0.00001,0.000027,False
