time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,moving
19.86599,-38.82637,2,74.07709,-0.000005,0,-0.000059,False
19.91168,-38.82637,1.988228,74.07709,-0.000005,0,-0.000059,False
19.92082,-38.82637,1.976456,74.07709,-0.000005,0,-0.000059,False
19.93352,-38.82637,1.976456,74.07709,-0.000005,0,-0.000059,False
19.97281,-38.82637,1.94114,74.07709,-0.000005,0,-0.000059,False
19.9845,-38.82637,1.917596,74.07709,-0.000005,0,-0.000059,False
20.00335,-38.82637,1.890128,74.07709,-0.000005,0,-0.000059,False
20.01025,-38.82637,1.890128,74.07709,-0.000005,0,-0.000059,False
20.04413,-38.82637,1.82342,74.07709,-0.000005,0,-0.000059,False
20.07416,-38.82637,1.78418,74.07709,-0.000005,0,-0.000059,False
20.08474,-38.82637,1.741016,74.07709,-0.000005,0,-0.000059,False
20.09394,-38.82637,1.741016,74.07709,-0.000005,0,-0.000059,False
20.12739,-38.82637,1.642916,74.07709,-0.000005,0,-0.000059,False
20.1477,-38.82637,1.58798,74.07709,-0.000005,0,-0.000059,False
20.16806,-38.82637,1.52912,74.07709,-0.000005,0,-0.000059,False
20.19116,-38.82637,1.466336,74.07709,-0.000005,0,-0.000059,False
20.21342,-38.82637,1.399628,74.07709,-0.000005,0,-0.000059,False
20.23213,-38.82637,1.328996,74.07709,-0.000005,0,-0.000059,False
20.2492,-38.82637,1.25444,74.07709,-0.000005,0,-0.000059,False
20.26632,-38.82637,1.17596,74.07709,-0.000005,0,-0.000059,False
20.28356,-38.82637,1.093556,74.07709,-0.000005,0,-0.000059,False
20.30002,-38.82637,1.007228,74.07709,-0.000005,0,-0.000059,False
20.3183,-38.82637,1.007228,74.07709,-0.000005,0,-0.000059,False
20.33603,-38.82638,1.001445,74.07709,0.000002,-0.000007,0.000175,False
20.35249,-38.82638,1.000289,74.07709,0.000002,-0.000014,0.000182,False
20.36945,-38.82638,1.000058,74.07709,0.000003,-0.000017,0.000099,False
20.38727,-38.82638,1.000012,74.07709,0.000001,-0.000017,0.000028,False
20.42292,-38.82637,1,74.07709,0,-0.000015,-0.000074,False
20.43262,-38.82637,1,74.07709,0,-0.000015,-0.000074,False
20.44578,-38.82637,1,74.07709,-0.000001,-0.000015,-0.00002,False
20.47254,-38.82637,1,74.07709,-0.000002,-0.000016,0.000018,False
20.4863,-38.82637,1,74.07709,-0.000001,-0.000017,0.000033,False
20.5009,-38.82637,1,74.07709,-0.000001,-0.000018,0.000032,False
20.51622,-38.82637,1,74.07709,-0.000001,-0.000018,0.000032,False
20.53263,-38.82637,1,74.07709,-0.000001,-0.000019,0.000026,False
20.5493,-38.82637,1,74.07709,-0.000001,-0.000019,0.000026,False
20.56585,-38.82637,1,74.07709,-0.000001,-0.000019,0.000026,False
20.58244,-38.82637,1,74.07709,-0.000001,-0.000019,0.000026,False
20.60004,-38.82637,1,74.07709,-0.000001,-0.000019,0.000026,False
20.61758,-38.82637,1,74.07709,-0.000001,-0.000019,0.000026,False
20.63359,-38.82637,1,74.07709,-0.000001,-0.000019,0.000026,False
20.65038,-38.82637,1,74.07709,-0.000001,-0.000019,0.000026,False
20.66786,-38.82637,1,74.07709,-0.000001,-0.000019,0.000026,False
20.68262,-38.82637,1,74.07709,-0.000001,-0.000019,0.000026,False
20.69757,-38.82637,1,74.07709,-0.000001,-0.000019,0.000026,False
20.71269,-38.82637,1,74.07709,-0.000001,-0.000019,0.000026,False
20.72714,-38.82637,1,74.07709,-0.000001,-0.000019,0.000026,False
20.74139,-38.82637,1,74.07709,-0.000001,-0.000019,0.000026,False
20.75733,-38.82637,1,74.07709,-0.000001,-0.000019,0.000026,False
20.77297,-38.82637,1,74.07709,-0.000001,-0.000019,0.000026,False
20.78866,-38.82637,1,74.07709,-0.000001,-0.000019,0.000026,False
