timestamp,log_type,message,stacktrace
0.02,Warning,Unable to find style '' in skin 'DarkSkin' Layout,UnityEngine.GUIStyle:op_Implicit (string).  ALIyerEdonAssets_Lighting:OnGUI () (at Assets/PalmTreePack/Editor/ALIyerEdonAssets_Lighting.cs:89).  UnityEngine.GUIUtility:ProcessEvent (intintptrbool&).  
0.02,Warning,Unable to find style '' in skin 'DarkSkin' Layout,UnityEngine.GUIStyle:op_Implicit (string).  ALIyerEdonAssets_Lighting:OnGUI () (at Assets/PalmTreePack/Editor/ALIyerEdonAssets_Lighting.cs:94).  UnityEngine.GUIUtility:ProcessEvent (intintptrbool&).  
0.02,Warning,Unable to find style '' in skin 'DarkSkin' Layout,UnityEngine.GUIStyle:op_Implicit (string).  ALIyerEdonAssets_Lighting:OnGUI () (at Assets/PalmTreePack/Editor/ALIyerEdonAssets_Lighting.cs:99).  UnityEngine.GUIUtility:ProcessEvent (intintptrbool&).  
0.02,Warning,Unable to find style '' in skin 'DarkSkin' Layout,UnityEngine.GUIStyle:op_Implicit (string).  ALIyerEdonAssets_Lighting:OnGUI () (at Assets/PalmTreePack/Editor/ALIyerEdonAssets_Lighting.cs:104).  UnityEngine.GUIUtility:ProcessEvent (intintptrbool&).  
0.02,Warning,Unable to find style '' in skin 'DarkSkin' Layout,UnityEngine.GUIStyle:op_Implicit (string).  ALIyerEdonAssets_Lighting:OnGUI () (at Assets/PalmTreePack/Editor/ALIyerEdonAssets_Lighting.cs:109).  UnityEngine.GUIUtility:ProcessEvent (intintptrbool&).  
0.02,Warning,Unable to find style '' in skin 'DarkSkin' Layout,UnityEngine.GUIStyle:op_Implicit (string).  ALIyerEdonAssets_Lighting:OnGUI () (at Assets/PalmTreePack/Editor/ALIyerEdonAssets_Lighting.cs:114).  UnityEngine.GUIUtility:ProcessEvent (intintptrbool&).  
0.02,Warning,Unable to find style '' in skin 'DarkSkin' Layout,UnityEngine.GUIStyle:op_Implicit (string).  ALIyerEdonAssets_Lighting:OnGUI () (at Assets/PalmTreePack/Editor/ALIyerEdonAssets_Lighting.cs:119).  UnityEngine.GUIUtility:ProcessEvent (intintptrbool&).  
0.02,Warning,Unable to find style '' in skin 'DarkSkin' Layout,UnityEngine.GUIStyle:op_Implicit (string).  ALIyerEdonAssets_Lighting:OnGUI () (at Assets/PalmTreePack/Editor/ALIyerEdonAssets_Lighting.cs:124).  UnityEngine.GUIUtility:ProcessEvent (intintptrbool&).  
0.02,Warning,Unable to find style '' in skin 'DarkSkin' Layout,UnityEngine.GUIStyle:op_Implicit (string).  ALIyerEdonAssets_Lighting:OnGUI () (at Assets/PalmTreePack/Editor/ALIyerEdonAssets_Lighting.cs:129).  UnityEngine.GUIUtility:ProcessEvent (intintptrbool&).  
0.02,Warning,Unable to find style '' in skin 'DarkSkin' Layout,UnityEngine.GUIStyle:op_Implicit (string).  ALIyerEdonAssets_Lighting:OnGUI () (at Assets/PalmTreePack/Editor/ALIyerEdonAssets_Lighting.cs:134).  UnityEngine.GUIUtility:ProcessEvent (intintptrbool&).  
0.02,Warning,Unable to find style '' in skin 'DarkSkin' Layout,UnityEngine.GUIStyle:op_Implicit (string).  ALIyerEdonAssets_Lighting:OnGUI () (at Assets/PalmTreePack/Editor/ALIyerEdonAssets_Lighting.cs:139).  UnityEngine.GUIUtility:ProcessEvent (intintptrbool&).  
0.02,Warning,Unable to find style '' in skin 'DarkSkin' Layout,UnityEngine.GUIStyle:op_Implicit (string).  ALIyerEdonAssets_Lighting:OnGUI () (at Assets/PalmTreePack/Editor/ALIyerEdonAssets_Lighting.cs:144).  UnityEngine.GUIUtility:ProcessEvent (intintptrbool&).  
