timestamp,log_type,message,stacktrace
9.736219,Log,[<b><color=#AD477C>UXF</color></b>] Beginning session.,UnityEngine.Debug:Log (object).  UXF.Utilities:UXFDebugLog (string) (at Assets/UXF/Scripts/Etc/Utilities.cs:13).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:333).  UXF.UI.UIController/<TryBeginSessionFromUISequence>d__43:MoveNext () (at Assets/UXF/Scripts/UI/UIController.cs:421).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  UXF.UI.UIController:TryBeginSessionFromUI () (at Assets/UXF/Scripts/UI/UIController.cs:214).  UnityEngine.EventSystems.EventSystem:Update () (at Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/EventSystem.cs:385).  
12.09052,Log,Start message send,UnityEngine.Debug:Log (object).  ExperimentController:Update () (at Assets/Scripts/ExperimentController.cs:66).  
12.09052,Log,Cue start of trial 1,UnityEngine.Debug:Log (object).  ExperimentController/<ShowCue>d__39:MoveNext () (at Assets/Scripts/ExperimentController.cs:264).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  ExperimentController:SetUpTrial () (at Assets/Scripts/ExperimentController.cs:138).  UnityEngine.Events.UnityEvent`1<UXF.Trial>:Invoke (UXF.Trial).  UXF.Trial:Begin () (at Assets/UXF/Scripts/Etc/Trial.cs:122).  UXF.Session:BeginNextTrial () (at Assets/UXF/Scripts/Session.cs:414).  ExperimentController:Update () (at Assets/Scripts/ExperimentController.cs:72).  
14.10103,Log,Cue end of trial 1,UnityEngine.Debug:Log (object).  ExperimentController/<ShowCue>d__39:MoveNext () (at Assets/Scripts/ExperimentController.cs:282).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
14.10103,Log,Start of delay period of trial 1,UnityEngine.Debug:Log (object).  ExperimentController/<Delay>d__40:MoveNext () (at Assets/Scripts/ExperimentController.cs:303).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  ExperimentController/<ShowCue>d__39:MoveNext () (at Assets/Scripts/ExperimentController.cs:296).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
18.10922,Log,End of delay period of trial 1,UnityEngine.Debug:Log (object).  ExperimentController/<Delay>d__40:MoveNext () (at Assets/Scripts/ExperimentController.cs:322).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
18.44649,Log,leftTurn was pressed.,UnityEngine.Debug:Log (object).  ThreeButtonMovement:Update () (at Assets/Scripts/ThreeButtonMovement.cs:45).  
28.66663,Log,leftTurn was pressed.,UnityEngine.Debug:Log (object).  ThreeButtonMovement:Update () (at Assets/Scripts/ThreeButtonMovement.cs:45).  
30.0903,Log,forwardKey was pressed.,UnityEngine.Debug:Log (object).  ThreeButtonMovement:Update () (at Assets/Scripts/ThreeButtonMovement.cs:39).  
34.4737,Log,forwardKey was pressed.,UnityEngine.Debug:Log (object).  ThreeButtonMovement:Update () (at Assets/Scripts/ThreeButtonMovement.cs:39).  
35.05582,Log,forwardKey was pressed.,UnityEngine.Debug:Log (object).  ThreeButtonMovement:Update () (at Assets/Scripts/ThreeButtonMovement.cs:39).  
35.46857,Log,forwardKey was pressed.,UnityEngine.Debug:Log (object).  ThreeButtonMovement:Update () (at Assets/Scripts/ThreeButtonMovement.cs:39).  
36.20818,Log,forwardKey was pressed.,UnityEngine.Debug:Log (object).  ThreeButtonMovement:Update () (at Assets/Scripts/ThreeButtonMovement.cs:39).  
36.53247,Log,forwardKey was pressed.,UnityEngine.Debug:Log (object).  ThreeButtonMovement:Update () (at Assets/Scripts/ThreeButtonMovement.cs:39).  
37.1643,Log,rightTurn was pressed.,UnityEngine.Debug:Log (object).  ThreeButtonMovement:Update () (at Assets/Scripts/ThreeButtonMovement.cs:51).  
42.62441,Log,rightTurn was pressed.,UnityEngine.Debug:Log (object).  ThreeButtonMovement:Update () (at Assets/Scripts/ThreeButtonMovement.cs:51).  
43.08492,Log,forwardKey was pressed.,UnityEngine.Debug:Log (object).  ThreeButtonMovement:Update () (at Assets/Scripts/ThreeButtonMovement.cs:39).  
53.27355,Log,forwardKey was pressed.,UnityEngine.Debug:Log (object).  ThreeButtonMovement:Update () (at Assets/Scripts/ThreeButtonMovement.cs:39).  
