timestamp,log_type,message,stacktrace
7.789295,Log,[<b><color=#AD477C>UXF</color></b>] Beginning session.,UnityEngine.Debug:Log (object).  UXF.Utilities:UXFDebugLog (string) (at Assets/UXF/Scripts/Etc/Utilities.cs:13).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:333).  UXF.UI.UIController/<TryBeginSessionFromUISequence>d__43:MoveNext () (at Assets/UXF/Scripts/UI/UIController.cs:421).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  UXF.UI.UIController:TryBeginSessionFromUI () (at Assets/UXF/Scripts/UI/UIController.cs:214).  UnityEngine.EventSystems.EventSystem:Update () (at Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/EventSystem.cs:385).  
9.794675,Log,Start message send,UnityEngine.Debug:Log (object).  ExperimentController:Update () (at Assets/Scripts/ExperimentController.cs:61).  
9.794675,Log,Cue start of trial 1,UnityEngine.Debug:Log (object).  ExperimentController/<ShowCue>d__31:MoveNext () (at Assets/Scripts/ExperimentController.cs:240).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  ExperimentController:SetUpTrial () (at Assets/Scripts/ExperimentController.cs:129).  UnityEngine.Events.UnityEvent`1<UXF.Trial>:Invoke (UXF.Trial).  UXF.Trial:Begin () (at Assets/UXF/Scripts/Etc/Trial.cs:122).  UXF.Session:BeginNextTrial () (at Assets/UXF/Scripts/Session.cs:414).  ExperimentController:Update () (at Assets/Scripts/ExperimentController.cs:67).  
11.80708,Log,Cue end of trial 1,UnityEngine.Debug:Log (object).  ExperimentController/<ShowCue>d__31:MoveNext () (at Assets/Scripts/ExperimentController.cs:255).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
11.80708,Log,Start of delay period of trial1,UnityEngine.Debug:Log (object).  ExperimentController/<Delay>d__32:MoveNext () (at Assets/Scripts/ExperimentController.cs:272).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  ExperimentController/<ShowCue>d__31:MoveNext () (at Assets/Scripts/ExperimentController.cs:265).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
15.81324,Log,End of delay period of trial 1,UnityEngine.Debug:Log (object).  ExperimentController/<Delay>d__32:MoveNext () (at Assets/Scripts/ExperimentController.cs:291).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
49.62318,Log,The end,UnityEngine.Debug:Log (object).  ExperimentController:Update () (at Assets/Scripts/ExperimentController.cs:97).  
49.64634,Log,The end,UnityEngine.Debug:Log (object).  ExperimentController:Update () (at Assets/Scripts/ExperimentController.cs:97).  
49.65196,Log,The end,UnityEngine.Debug:Log (object).  ExperimentController:Update () (at Assets/Scripts/ExperimentController.cs:97).  
49.69053,Log,The end,UnityEngine.Debug:Log (object).  ExperimentController:Update () (at Assets/Scripts/ExperimentController.cs:97).  
50.89314,Log,Start of ITI period of trial1,UnityEngine.Debug:Log (object).  ExperimentController/<countdownITI>d__33:MoveNext () (at Assets/Scripts/ExperimentController.cs:298).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  ExperimentController:BeingCountdownITI () (at Assets/Scripts/ExperimentController.cs:314).  UnityEngine.Events.UnityEvent`1<UXF.Trial>:Invoke (UXF.Trial).  UXF.Trial:End () (at Assets/UXF/Scripts/Etc/Trial.cs:139).  UXF.Session:End () (at Assets/UXF/Scripts/Session.cs:631).  UXF.Session:OnApplicationQuit () (at Assets/UXF/Scripts/Session.cs:718).  
