time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,moving
45.98824,-71.51202,2,28.05754,-0.000003,159.0504,0.000099,False
46.0004,-71.51202,1.996076,28.05754,-0.000003,159.0504,0.000099,False
46.01128,-71.51202,1.996076,28.05754,-0.000003,159.0504,0.000099,False
46.02578,-71.51202,1.988228,28.05754,-0.000003,159.0504,0.000099,False
46.03857,-71.51202,1.988228,28.05754,-0.000003,159.0504,0.000099,False
46.05251,-71.51202,1.976456,28.05754,-0.000003,159.0504,0.000099,False
46.06573,-71.51202,1.96076,28.05754,-0.000003,159.0504,0.000099,False
46.07927,-71.51202,1.96076,28.05754,-0.000003,159.0504,0.000099,False
46.09161,-71.51202,1.94114,28.05754,-0.000003,159.0504,0.000099,False
46.10386,-71.51202,1.917596,28.05754,-0.000003,159.0504,0.000099,False
46.12297,-71.51202,1.890128,28.05754,-0.000003,159.0504,0.000099,False
46.12854,-71.51202,1.890128,28.05754,-0.000003,159.0504,0.000099,False
46.16197,-71.51202,1.82342,28.05754,-0.000003,159.0504,0.000099,False
46.1852,-71.51202,1.78418,28.05754,-0.000003,159.0504,0.000099,False
46.18937,-71.51202,1.78418,28.05754,-0.000003,159.0504,0.000099,False
46.21354,-71.51202,1.741016,28.05754,-0.000003,159.0504,0.000099,False
46.23014,-71.51202,1.693928,28.05754,-0.000003,159.0504,0.000099,False
46.24573,-71.51202,1.642916,28.05754,-0.000003,159.0504,0.000099,False
46.26045,-71.51202,1.58798,28.05754,-0.000003,159.0504,0.000099,False
46.273,-71.51202,1.58798,28.05754,-0.000003,159.0504,0.000099,False
46.28613,-71.51202,1.52912,28.05754,-0.000003,159.0504,0.000099,False
46.29789,-71.51202,1.52912,28.05754,-0.000003,159.0504,0.000099,False
46.31028,-71.51202,1.466336,28.05754,-0.000003,159.0504,0.000099,False
46.32365,-71.51202,1.399628,28.05754,-0.000003,159.0504,0.000099,False
46.33776,-71.51202,1.399628,28.05754,-0.000003,159.0504,0.000099,False
46.3518,-71.51202,1.328996,28.05754,-0.000003,159.0504,0.000099,False
46.36567,-71.51202,1.25444,28.05754,-0.000003,159.0504,0.000099,False
46.37867,-71.51202,1.25444,28.05754,-0.000003,159.0504,0.000099,False
46.39225,-71.51202,1.17596,28.05754,-0.000003,159.0504,0.000099,False
46.40581,-71.51202,1.093556,28.05754,-0.000003,159.0504,0.000099,False
46.41869,-71.51202,1.093556,28.05754,-0.000003,159.0504,0.000099,False
46.43067,-71.51202,1.007228,28.05754,-0.000003,159.0504,0.000099,False
46.44323,-71.51202,1.001445,28.05754,-0.000001,159.0505,0.00005,False
46.45608,-71.51202,1.001445,28.05754,-0.000001,159.0505,0.00005,False
46.4683,-71.51202,1.000289,28.05754,0.000001,159.0505,0.000005,False
46.48204,-71.51202,1.000058,28.05754,0.000002,159.0504,-0.000011,False
46.49659,-71.51202,1.000058,28.05754,0.000002,159.0504,-0.000011,False
46.50963,-71.51202,1.000012,28.05754,0.000002,159.0504,-0.000007,False
46.52295,-71.51202,1.000003,28.05754,0.000002,159.0504,-0.000003,False
46.53593,-71.51202,1.000003,28.05754,0.000002,159.0504,-0.000003,False
46.54897,-71.51202,1.000001,28.05754,0.000002,159.0504,0.000001,False
46.56188,-71.51202,1,28.05754,0.000002,159.0504,0.000004,False
46.57466,-71.51202,1,28.05754,0.000002,159.0504,0.000004,False
46.58729,-71.51202,1,28.05754,0.000003,159.0504,0.000007,False
46.60039,-71.51202,1,28.05754,0.000003,159.0504,0.00001,False
46.61193,-71.51202,1,28.05754,0.000003,159.0504,0.00001,False
46.62397,-71.51202,1,28.05754,0.000004,159.0504,0.000006,False
46.63692,-71.51202,1,28.05754,0.000004,159.0504,0.000006,False
46.64866,-71.51202,1,28.05754,0,159.0504,0.000006,False
46.66246,-71.51202,1,28.05754,0,159.0504,0.000006,False
46.67297,-71.51202,1,28.05754,0,159.0504,0.000006,False
46.68502,-71.51202,1,28.05754,0,159.0504,0.000006,False
46.69795,-71.51202,1,28.05754,0,159.0504,0.000006,False
46.71031,-71.51202,1,28.05754,0,159.0504,0.000006,False
46.72484,-71.51202,1,28.05754,0,159.0504,0.000006,False
46.73975,-71.51202,1,28.05754,0,159.0504,0.000006,False
46.75354,-71.51202,1,28.05754,0,159.0504,0.000006,False
46.76734,-71.51202,1,28.05754,0,159.0504,0.000006,False
46.78109,-71.51202,1,28.05754,0,159.0504,0.000006,False
46.79341,-71.51202,1,28.05754,0,159.0504,0.000006,False
46.80578,-71.51202,1,28.05754,0,159.0504,0.000006,False
46.81795,-71.51202,1,28.05754,0,159.0504,0.000006,False
46.83035,-71.51202,1,28.05754,0,159.0504,0.000006,False
46.84356,-71.51202,1,28.05754,0,159.0504,0.000006,False
46.8582,-71.51202,1,28.05754,0,159.0504,0.000006,False
46.87086,-71.51202,1,28.05754,0,159.0504,0.000006,False
46.88361,-71.51202,1,28.05754,0,159.0504,0.000006,False
46.89668,-71.51202,1,28.05754,0,159.0504,0.000006,False
46.9093,-71.51202,1,28.05754,0,159.0504,0.000006,False
46.92132,-71.51202,1,28.05754,0,159.0504,0.000006,False
46.93469,-71.51202,1,28.05754,0,159.0504,0.000006,False
46.94714,-71.51202,1,28.05754,0,159.0504,0.000006,False
46.95992,-71.51202,1,28.05754,0,159.0504,0.000006,False
46.97162,-71.51202,1,28.05754,0,159.0504,0.000006,False
46.98455,-71.51202,1,28.05754,0,159.0504,0.000006,False
46.99657,-71.51202,1,28.05754,0,159.0504,0.000006,False
47.00891,-71.51202,1,28.05754,0,159.0504,0.000006,False
47.02209,-71.51202,1,28.05754,0,159.0504,0.000006,False
47.03257,-71.51202,1,28.05754,0,159.0504,0.000006,False
47.04528,-71.51202,1,28.05754,0,159.0504,0.000006,False
47.05765,-71.51202,1,28.05754,0,159.0504,0.000006,False
47.07029,-71.51202,1,28.05754,0,159.0504,0.000006,False
47.08214,-71.51202,1,28.05754,0,159.0504,0.000006,False
47.09566,-71.51202,1,28.05754,0,159.0504,0.000006,False
47.11027,-71.51202,1,28.05754,0,159.0504,0.000006,False
47.12417,-71.51202,1,28.05754,0,159.0504,0.000006,False
47.13757,-71.51202,1,28.05754,0,159.0504,0.000006,False
47.15112,-71.51202,1,28.05754,0,159.0504,0.000006,False
47.16564,-71.51202,1,28.05754,0,159.0504,0.000006,False
47.17738,-71.51202,1,28.05754,0,159.0504,0.000006,False
47.1912,-71.51202,1,28.05754,0,159.0504,0.000006,False
47.20343,-71.51202,1,28.05754,0,159.0504,0.000006,False
47.21607,-71.51202,1,28.05754,0,159.0504,0.000006,False
47.22866,-71.51202,1,28.05754,0,159.0504,0.000006,False
47.24168,-71.51202,1,28.05754,0,159.0504,0.000006,False
47.25542,-71.51202,1,28.05754,0,159.0504,0.000006,False
