time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,moving
6.780079,2.784449,2,-24.40045,0,-0.000003,0,False
6.804273,2.784449,1.996076,-24.40045,0,-0.000003,0,False
6.821221,2.784449,1.988228,-24.40045,0,-0.000003,0,False
6.827744,2.784449,1.988228,-24.40045,0,-0.000003,0,False
6.84022,2.784449,1.976456,-24.40045,0,-0.000003,0,False
6.852485,2.784449,1.976456,-24.40045,0,-0.000003,0,False
6.896157,2.784449,1.94114,-24.40045,0,-0.000003,0,False
6.909029,2.784449,1.917596,-24.40045,0,-0.000003,0,False
6.932748,2.784449,1.890128,-24.40045,0,-0.000003,0,False
6.95159,2.784449,1.858736,-24.40045,0,-0.000003,0,False
6.968733,2.784449,1.82342,-24.40045,0,-0.000003,0,False
6.974669,2.784449,1.82342,-24.40045,0,-0.000003,0,False
6.985873,2.784449,1.78418,-24.40045,0,-0.000003,0,False
6.998745,2.784449,1.78418,-24.40045,0,-0.000003,0,False
7.012865,2.784449,1.741016,-24.40045,0,-0.000003,0,False
7.047978,2.784449,1.642916,-24.40045,0,-0.000003,0,False
7.06133,2.784449,1.58798,-24.40045,0,-0.000003,0,False
7.078142,2.784449,1.58798,-24.40045,0,-0.000003,0,False
7.083913,2.784449,1.52912,-24.40045,0,-0.000003,0,False
7.096575,2.784449,1.52912,-24.40045,0,-0.000003,0,False
7.111865,2.784449,1.466336,-24.40045,0,-0.000003,0,False
7.121966,2.784449,1.399628,-24.40045,0,-0.000003,0,False
7.133792,2.784449,1.399628,-24.40045,0,-0.000003,0,False
7.147512,2.784449,1.328996,-24.40045,0,-0.000003,0,False
7.161075,2.784449,1.25444,-24.40045,0,-0.000003,0,False
7.174215,2.784449,1.25444,-24.40045,0,-0.000003,0,False
7.214066,2.784449,1.093556,-24.40045,0,-0.000003,0,False
7.221868,2.784449,1.007228,-24.40045,0,-0.000003,0,False
7.227955,2.784449,1.007228,-24.40045,0,-0.000003,0,False
7.246053,2.784449,1.001446,-24.40045,0,-0.000003,-0.000001,False
7.258689,2.784449,1.001446,-24.40045,0,-0.000003,-0.000001,False
7.272419,2.784449,1.000289,-24.40045,0.000001,-0.000003,-0.000002,False
7.28616,2.784449,1.000058,-24.40045,0.000001,-0.000003,-0.000002,False
7.299279,2.784449,1.000058,-24.40045,0.000001,-0.000003,-0.000002,False
7.313912,2.784449,1.000012,-24.40045,0.000001,-0.000003,-0.000003,False
7.327695,2.784449,1.000002,-24.40045,0.000002,-0.000003,-0.000003,False
7.367274,2.784449,1,-24.40045,0.000001,-0.000003,-0.000003,False
7.374377,2.784449,1,-24.40045,0.000001,-0.000003,-0.000003,False
7.380691,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.398898,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.411314,2.784449,1,-24.40045,0.000001,-0.000003,-0.000003,False
7.423499,2.784449,1,-24.40045,0.000001,-0.000003,-0.000003,False
7.436767,2.784449,1,-24.40045,0.000001,-0.000003,-0.000003,False
7.449377,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.462728,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.475456,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.488716,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.526577,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.534495,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.540344,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.575222,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.584588,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.591205,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.603282,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.615777,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.629126,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.643073,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.655385,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.668399,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.681185,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.694189,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.707228,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.720282,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.733324,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.745888,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.759558,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.773595,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.786952,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.80187,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.815724,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.829538,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.843188,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.856797,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.870765,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.884836,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.900332,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.912417,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.926703,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.941053,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.953954,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.967177,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.980356,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
7.993761,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.007746,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.022275,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.035536,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.049446,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.079369,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.09034,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.097405,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.109698,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.122995,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.136088,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.149963,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.163469,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.177026,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.190829,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.204384,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.217195,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.230958,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.244402,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.256819,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.270249,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.284046,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.29757,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.311564,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.325413,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.33942,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.352896,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.366308,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.379861,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.392905,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.406306,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.418818,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.432799,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.446545,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.460627,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.474296,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.488003,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.501939,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.514836,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.527412,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.541505,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.554547,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.584677,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.596809,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.606146,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.616902,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.628066,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.640831,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.654156,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.666593,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.680627,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.693184,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.705932,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.718825,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.731821,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.745666,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.759619,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.774365,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.788863,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.803746,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.816724,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.839364,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.858882,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.866781,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.88046,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.893047,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.90649,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.935061,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.954133,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.960026,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.972693,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.98578,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
8.998791,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
9.011342,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
9.025094,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
9.03873,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
9.050593,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
9.063483,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
9.09408,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
9.102878,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
9.110314,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
9.123661,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
9.137133,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
9.150941,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
9.164618,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
9.177495,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
9.191745,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
9.205859,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
9.219173,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
9.232328,2.784449,1,-24.40045,0.000002,-0.000003,-0.000003,False
