time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,moving
5.470077,60,1,0,0,300,0,False
5.490268,60,1,0,0,300,0,False
5.504919,60,1,0,0,300,0,False
5.521032,60,1,0,0,300,0,False
5.536579,60,1,0,0,300,0,False
5.556614,60,1,0,0,300,0,False
5.571952,60,1,0,0,300,0,False
5.592542,60,1,0,0,300,0,False
5.613313,60,1,0,0,300,0,False
5.625395,60,1,0,0,300,0,False
5.642439,60,1,0,0,300,0,False
5.660764,60,1,0,0,300,-0.000001,False
5.674976,60,1,0,0,300,-0.000001,False
5.692055,60,1,0,0,300,0,False
5.710375,60,1,0,0,300,-0.000001,False
5.7258,60,1,0,0,300,-0.000001,False
5.742013,60,1,0,0,300,-0.000001,False
5.757987,60,1,0,0,300,-0.000001,False
5.776495,60,1,0,0,300,-0.000001,False
5.794557,60,1,0,0,300,-0.000001,False
5.809227,60,1,0,0,300,-0.000001,False
5.828235,60,1,0,0,300,-0.000001,False
5.843941,60,1,0,0,300,-0.000001,False
5.860912,60,1,0,0,300,-0.000001,False
5.874932,60,1,0,0,300,-0.000001,False
5.895473,60,1,0,0,300,-0.000001,False
5.911386,60,1,0,0,300,-0.000001,False
5.926892,60,1,0,0,300,-0.000001,False
5.941662,60,1,0,0,300,-0.000001,False
5.959566,60,1,0,0,300,-0.000001,False
5.977333,60,1,0,0,300,-0.000001,False
5.992954,60,1,0,0,300,-0.000001,False
6.009839,60,1,0,0,300,-0.000001,False
6.027121,60,1,0,0,300,-0.000001,False
6.044342,60,1,0,0,300,-0.000001,False
6.057748,60,1,0,0,300,-0.000001,False
6.074896,60,1,0,0,300,-0.000001,False
6.092395,60,1,0,0,300,-0.000001,False
6.108932,60,1,0,0,300,-0.000001,False
6.12638,60,1,0,0,300,-0.000001,False
6.143497,60,1,0,0,300,-0.000001,False
6.160431,60,1,0,0,300,-0.000001,False
6.177389,60,1,0,0,300,-0.000001,False
6.194674,60,1,0,0,300,-0.000001,False
6.207839,60,1,0,0,300,-0.000001,False
6.224423,60,1,0,0,300,-0.000001,False
6.2451,60,1,0,0,300,-0.000001,False
6.258128,60,1,0,0,300,-0.000001,False
6.275742,60,1,0,0,300,-0.000001,False
6.293198,60,1,0,0,300,-0.000001,False
6.310084,60,1,0,0,300,-0.000001,False
6.328722,60,1,0,0,300,-0.000001,False
6.342647,60,1,0,0,300,-0.000001,False
6.361036,60,1,0,0,300,-0.000001,False
6.378052,60,1,0,0,300,-0.000001,False
6.391038,60,1,0,0,300,-0.000001,False
6.412278,60,1,0,0,300,-0.000001,False
6.427986,60,1,0,0,300,-0.000001,False
6.442914,60,1,0,0,300,-0.000001,False
6.458064,60,1,0,0,300,-0.000001,False
6.477234,60,1,0,0,300,-0.000001,False
6.493954,60,1,0,0,300,-0.000001,False
6.51058,60,1,0,0,300,-0.000001,False
6.528265,60,1,0,0,300,-0.000001,False
6.544867,60,1,0,0,300,-0.000001,False
6.561597,60,1,0,0,300,-0.000001,False
6.578736,60,1,0,0,300,-0.000001,False
6.591643,60,1,0,0,300,-0.000001,False
6.608917,60,1,0,0,300,-0.000001,False
6.626311,60,1,0,0,300,-0.000001,False
6.643231,60,1,0,0,300,-0.000001,False
6.660083,60,1,0,0,300,-0.000001,False
6.676224,60,1,0,0,300,-0.000001,False
6.691628,60,1,0,0,300,-0.000001,False
6.71004,60,1,0,0,300,-0.000001,False
6.725099,60,1,0,0,300,-0.000001,False
6.744365,60,1,0,0,300,-0.000001,False
6.759513,60,1,0,0,300,-0.000001,False
6.774874,60,1,0,0,300,-0.000001,False
6.794418,60,1,0,0,300,-0.000001,False
6.810333,60,1,0,0,300,-0.000001,False
6.824037,60,1,0,0,300,-0.000001,False
6.841561,60,1,0,0,300,-0.000001,False
6.858341,60,1,0,0,300,-0.000001,False
