timestamp,log_type,message,stacktrace
8.133666,Log,[<b><color=#AD477C>UXF</color></b>] Beginning session.,UnityEngine.Debug:Log (object).  UXF.Utilities:UXFDebugLog (string) (at Assets/UXF/Scripts/Etc/Utilities.cs:13).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:333).  UXF.UI.UIController/<TryBeginSessionFromUISequence>d__43:MoveNext () (at Assets/UXF/Scripts/UI/UIController.cs:421).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  UXF.UI.UIController:TryBeginSessionFromUI () (at Assets/UXF/Scripts/UI/UIController.cs:214).  UnityEngine.EventSystems.EventSystem:Update () (at Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/EventSystem.cs:501).  
11.54204,Log,Start message send,UnityEngine.Debug:Log (object).  ExperimentController:Update () (at Assets/Scripts/ExperimentController.cs:95).  
11.54204,Log,Cue start of trial 1,UnityEngine.Debug:Log (object).  ExperimentController/<ShowCue>d__60:MoveNext () (at Assets/Scripts/ExperimentController.cs:348).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  ExperimentController:SetUpTrial () (at Assets/Scripts/ExperimentController.cs:236).  UnityEngine.Events.UnityEvent`1<UXF.Trial>:Invoke (UXF.Trial).  UXF.Trial:Begin () (at Assets/UXF/Scripts/Etc/Trial.cs:122).  UXF.Session:BeginNextTrial () (at Assets/UXF/Scripts/Session.cs:414).  ExperimentController:Update () (at Assets/Scripts/ExperimentController.cs:104).  
11.54204,Log,trigger was send,UnityEngine.Debug:Log (object).  ExperimentController:Update () (at Assets/Scripts/ExperimentController.cs:158).  
13.54855,Log,Cue end of trial 1,UnityEngine.Debug:Log (object).  ExperimentController/<ShowCue>d__60:MoveNext () (at Assets/Scripts/ExperimentController.cs:365).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
13.54855,Log,Start of delay period of trial 1,UnityEngine.Debug:Log (object).  ExperimentController/<Delay>d__61:MoveNext () (at Assets/Scripts/ExperimentController.cs:378).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  ExperimentController/<ShowCue>d__60:MoveNext () (at Assets/Scripts/ExperimentController.cs:371).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
15.06233,Log,End of delay period of trial 1,UnityEngine.Debug:Log (object).  ExperimentController/<Delay>d__61:MoveNext () (at Assets/Scripts/ExperimentController.cs:396).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
15.51591,Log,rightTurn was pressed.,UnityEngine.Debug:Log (object).  ThreeButtonMovement:Update () (at Assets/Scripts/ThreeButtonMovement.cs:51).  
19.11274,Log,rightTurn was pressed.,UnityEngine.Debug:Log (object).  ThreeButtonMovement:Update () (at Assets/Scripts/ThreeButtonMovement.cs:51).  
19.17262,Log,forwardKey was pressed.,UnityEngine.Debug:Log (object).  ThreeButtonMovement:Update () (at Assets/Scripts/ThreeButtonMovement.cs:39).  
19.85548,Log,forwardKey was pressed.,UnityEngine.Debug:Log (object).  ThreeButtonMovement:Update () (at Assets/Scripts/ThreeButtonMovement.cs:39).  
20.26989,Log,rightTurn was pressed.,UnityEngine.Debug:Log (object).  ThreeButtonMovement:Update () (at Assets/Scripts/ThreeButtonMovement.cs:51).  
22.23839,Log,rightTurn was pressed.,UnityEngine.Debug:Log (object).  ThreeButtonMovement:Update () (at Assets/Scripts/ThreeButtonMovement.cs:51).  
22.40683,Log,forwardKey was pressed.,UnityEngine.Debug:Log (object).  ThreeButtonMovement:Update () (at Assets/Scripts/ThreeButtonMovement.cs:39).  
26.28,Log,Object Picked Up!,UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:19).  
26.28,Log,End of trial 1,UnityEngine.Debug:Log (object).  ExperimentController:EndTrial () (at Assets/Scripts/ExperimentController.cs:284).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:26).  
26.28,Log,Start of ITI period of trial1,UnityEngine.Debug:Log (object).  ExperimentController/<countdownITI>d__62:MoveNext () (at Assets/Scripts/ExperimentController.cs:404).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  ExperimentController:BeingCountdownITI () (at Assets/Scripts/ExperimentController.cs:472).  UnityEngine.Events.UnityEvent`1<UXF.Trial>:Invoke (UXF.Trial).  UXF.Trial:End () (at Assets/UXF/Scripts/Etc/Trial.cs:139).  UXF.Session:EndCurrentTrial () (at Assets/UXF/Scripts/Session.cs:406).  ExperimentController:EndTrial () (at Assets/Scripts/ExperimentController.cs:327).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:26).  
27.30047,Log,End of ITI period of trial1,UnityEngine.Debug:Log (object).  ExperimentController/<countdownITI>d__62:MoveNext () (at Assets/Scripts/ExperimentController.cs:413).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
27.30047,Log,Cue start of trial 2,UnityEngine.Debug:Log (object).  ExperimentController/<ShowCue>d__60:MoveNext () (at Assets/Scripts/ExperimentController.cs:348).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  ExperimentController:SetUpTrial () (at Assets/Scripts/ExperimentController.cs:236).  UnityEngine.Events.UnityEvent`1<UXF.Trial>:Invoke (UXF.Trial).  UXF.Trial:Begin () (at Assets/UXF/Scripts/Etc/Trial.cs:122).  UXF.Session:BeginNextTrial () (at Assets/UXF/Scripts/Session.cs:414).  ExperimentController/<countdownITI>d__62:MoveNext () (at Assets/Scripts/ExperimentController.cs:465).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
29.30148,Log,Cue end of trial 2,UnityEngine.Debug:Log (object).  ExperimentController/<ShowCue>d__60:MoveNext () (at Assets/Scripts/ExperimentController.cs:365).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
29.30148,Log,Start of delay period of trial 2,UnityEngine.Debug:Log (object).  ExperimentController/<Delay>d__61:MoveNext () (at Assets/Scripts/ExperimentController.cs:378).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  ExperimentController/<ShowCue>d__60:MoveNext () (at Assets/Scripts/ExperimentController.cs:371).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
30.81623,Log,End of delay period of trial 2,UnityEngine.Debug:Log (object).  ExperimentController/<Delay>d__61:MoveNext () (at Assets/Scripts/ExperimentController.cs:396).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
31.93371,Log,leftTurn was pressed.,UnityEngine.Debug:Log (object).  ThreeButtonMovement:Update () (at Assets/Scripts/ThreeButtonMovement.cs:45).  
36.34996,Log,leftTurn was pressed.,UnityEngine.Debug:Log (object).  ThreeButtonMovement:Update () (at Assets/Scripts/ThreeButtonMovement.cs:45).  
36.57051,Log,rightTurn was pressed.,UnityEngine.Debug:Log (object).  ThreeButtonMovement:Update () (at Assets/Scripts/ThreeButtonMovement.cs:51).  
39.51833,Log,rightTurn was pressed.,UnityEngine.Debug:Log (object).  ThreeButtonMovement:Update () (at Assets/Scripts/ThreeButtonMovement.cs:51).  
39.74943,Log,forwardKey was pressed.,UnityEngine.Debug:Log (object).  ThreeButtonMovement:Update () (at Assets/Scripts/ThreeButtonMovement.cs:39).  
41.38487,Log,forwardKey was pressed.,UnityEngine.Debug:Log (object).  ThreeButtonMovement:Update () (at Assets/Scripts/ThreeButtonMovement.cs:39).  
41.98767,Log,Confirm button pressed: trial2,UnityEngine.Debug:Log (object).  ExperimentController:Update () (at Assets/Scripts/ExperimentController.cs:111).  
42.62685,Log,forwardKey was pressed.,UnityEngine.Debug:Log (object).  ThreeButtonMovement:Update () (at Assets/Scripts/ThreeButtonMovement.cs:39).  
44.92717,Log,forwardKey was pressed.,UnityEngine.Debug:Log (object).  ThreeButtonMovement:Update () (at Assets/Scripts/ThreeButtonMovement.cs:39).  
45.3589,Log,leftTurn was pressed.,UnityEngine.Debug:Log (object).  ThreeButtonMovement:Update () (at Assets/Scripts/ThreeButtonMovement.cs:45).  
45.48,Log,Object Picked Up!,UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:19).  
45.48,Log,End of trial 2,UnityEngine.Debug:Log (object).  ExperimentController:EndTrial () (at Assets/Scripts/ExperimentController.cs:284).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:26).  
45.48,Log,Start of ITI period of trial2,UnityEngine.Debug:Log (object).  ExperimentController/<countdownITI>d__62:MoveNext () (at Assets/Scripts/ExperimentController.cs:404).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  ExperimentController:BeingCountdownITI () (at Assets/Scripts/ExperimentController.cs:472).  UnityEngine.Events.UnityEvent`1<UXF.Trial>:Invoke (UXF.Trial).  UXF.Trial:End () (at Assets/UXF/Scripts/Etc/Trial.cs:139).  UXF.Session:EndCurrentTrial () (at Assets/UXF/Scripts/Session.cs:406).  ExperimentController:EndTrial () (at Assets/Scripts/ExperimentController.cs:327).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:26).  
47.00806,Log,End of ITI period of trial2,UnityEngine.Debug:Log (object).  ExperimentController/<countdownITI>d__62:MoveNext () (at Assets/Scripts/ExperimentController.cs:413).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
