timestamp,log_type,message,stacktrace
12.81702,Log,Start message send,
12.81702,Exception,NoSuchTrialException: There is no next trial. Reached the end of trial list. If you are at the start of the session perhaps you tried to start the next trial before generating your trials? If you are at the end you can use BeginNextTrialSafe to do nothing if there is no next trial.,UXF.Session.GetNextTrial () (at <6fe735deccf1484781f3d3b866417e92>:0).  UXF.Session.get_NextTrial () (at <6fe735deccf1484781f3d3b866417e92>:0).  UXF.Session.BeginNextTrial () (at <6fe735deccf1484781f3d3b866417e92>:0).  ExperimentController.Update () (at <6fe735deccf1484781f3d3b866417e92>:0).  
20.71502,Log,[<b><color=#AD477C>UXF</color></b>] Beginning session.,
22.39794,Log,Start message send,
22.39794,Log,Cue start of trial 1,
24.4308,Log,Cue end of trial 1,
24.4308,Log,Start of delay period of trial 1,
28.44646,Log,End of delay period of trial 1,
29.07962,Log,leftTurn was pressed.,
36.21125,Log,leftTurn was pressed.,
37.1777,Log,forwardKey was pressed.,
41.92651,Log,forwardKey was pressed.,
42.27642,Log,leftTurn was pressed.,
42.72632,Log,leftTurn was pressed.,
43.15955,Log,forwardKey was pressed.,
46.64205,Log,forwardKey was pressed.,
47.10859,Log,leftTurn was pressed.,
48.27498,Log,leftTurn was pressed.,
48.60825,Log,forwardKey was pressed.,
48.98,Log,Object Picked Up!,
48.98,Log,End of trial 1,
48.98,Log,Start of ITI period of trial1,
50.04129,Log,End of ITI period of trial1,
50.04129,Log,Cue start of trial 2,
52.09076,Log,Cue end of trial 2,
52.09076,Log,Start of delay period of trial 2,
56.15641,Log,End of delay period of trial 2,
56.80625,Log,leftTurn was pressed.,
62.50487,Log,leftTurn was pressed.,
63.47129,Log,leftTurn was pressed.,
63.78788,Log,leftTurn was pressed.,
64.48775,Log,forwardKey was pressed.,
75.50166,Log,forwardKey was pressed.,
76.20153,Log,rightTurn was pressed.,
76.5181,Log,rightTurn was pressed.,
77.05128,Log,forwardKey was pressed.,
79.75999,Log,Object Picked Up!,
79.75999,Log,End of trial 2,
79.75999,Log,Start of ITI period of trial2,
80.85042,Log,End of ITI period of trial2,
80.85042,Log,Cue start of trial 3,
82.86652,Log,Cue end of trial 3,
82.86652,Log,Start of delay period of trial 3,
86.89889,Log,End of delay period of trial 3,
87.39875,Log,leftTurn was pressed.,
90.86456,Log,leftTurn was pressed.,
91.53111,Log,forwardKey was pressed.,
99.57909,Log,forwardKey was pressed.,
99.8957,Log,leftTurn was pressed.,
100.2789,Log,leftTurn was pressed.,
100.6622,Log,forwardKey was pressed.,
103.5948,Log,forwardKey was pressed.,
103.978,Log,leftTurn was pressed.,
105.42,Log,Object Picked Up!,
105.42,Log,End of trial 3,
105.42,Log,Start of ITI period of trial3,
106.5108,Log,End of ITI period of trial3,
106.5108,Log,Cue start of trial 4,
108.5436,Log,Cue end of trial 4,
108.5436,Log,Start of delay period of trial 4,
112.5926,Log,End of delay period of trial 4,
113.1091,Log,rightTurn was pressed.,
116.9248,Log,rightTurn was pressed.,
117.6413,Log,leftTurn was pressed.,
117.9579,Log,leftTurn was pressed.,
118.5245,Log,forwardKey was pressed.,
130.98,Log,Object Picked Up!,
130.98,Log,End of trial 4,
130.98,Log,Start of ITI period of trial4,
132.0712,Log,End of ITI period of trial4,
132.0712,Log,Cue start of trial 5,
134.0873,Log,Cue end of trial 5,
134.0873,Log,Start of delay period of trial 5,
138.103,Log,End of delay period of trial 5,
138.6195,Log,rightTurn was pressed.,
139.0361,Log,rightTurn was pressed.,
140.3858,Log,forwardKey was pressed.,
141.9,Log,Object Picked Up!,
141.9,Log,End of trial 5,
141.9,Log,Start of ITI period of trial5,
142.9518,Log,End of ITI period of trial5,
142.9518,Log,Cue start of trial 6,
144.9846,Log,Cue end of trial 6,
144.9846,Log,Start of delay period of trial 6,
149.0169,Log,End of delay period of trial 6,
149.5002,Log,leftTurn was pressed.,
150.4166,Log,leftTurn was pressed.,
151.833,Log,forwardKey was pressed.,
156.5485,Log,forwardKey was pressed.,
156.9984,Log,leftTurn was pressed.,
157.4982,Log,leftTurn was pressed.,
157.8481,Log,forwardKey was pressed.,
162.62,Log,Object Picked Up!,
162.62,Log,End of trial 6,
162.62,Log,Start of ITI period of trial6,
163.73,Log,End of ITI period of trial6,
163.73,Log,Cue start of trial 7,
165.7628,Log,Cue end of trial 7,
165.7628,Log,Start of delay period of trial 7,
169.7785,Log,End of delay period of trial 7,
170.3284,Log,rightTurn was pressed.,
170.6617,Log,rightTurn was pressed.,
170.9782,Log,forwardKey was pressed.,
172.46,Log,Object Picked Up!,
172.46,Log,End of trial 7,
172.46,Log,Start of ITI period of trial7,
173.5109,Log,End of ITI period of trial7,
173.5109,Log,Cue start of trial 8,
175.5438,Log,Cue end of trial 8,
175.5438,Log,Start of delay period of trial 8,
179.5928,Log,End of delay period of trial 8,
180.076,Log,leftTurn was pressed.,
185.408,Log,leftTurn was pressed.,
186.0912,Log,forwardKey was pressed.,
186.4,Log,Object Picked Up!,
186.4,Log,End of trial 8,
186.4,Log,Start of ITI period of trial8,
187.4742,Log,End of ITI period of trial8,
187.4742,Log,Cue start of trial 9,
189.507,Log,Cue end of trial 9,
189.507,Log,Start of delay period of trial 9,
193.556,Log,End of delay period of trial 9,
194.2559,Log,rightTurn was pressed.,
195.8388,Log,rightTurn was pressed.,
196.272,Log,forwardKey was pressed.,
197.2218,Log,forwardKey was pressed.,
197.605,Log,rightTurn was pressed.,
197.9383,Log,rightTurn was pressed.,
198.2549,Log,forwardKey was pressed.,
203.34,Log,Object Picked Up!,
203.34,Log,End of trial 9,
203.34,Log,Start of ITI period of trial9,
204.4367,Log,End of ITI period of trial9,
204.4367,Log,Cue start of trial 10,
206.5029,Log,Cue end of trial 10,
206.5029,Log,Start of delay period of trial 10,
210.5352,Log,End of delay period of trial 10,
211.0184,Log,leftTurn was pressed.,
213.0346,Log,leftTurn was pressed.,
213.6178,Log,forwardKey was pressed.,
220.8826,Log,forwardKey was pressed.,
221.3159,Log,leftTurn was pressed.,
221.5825,Log,leftTurn was pressed.,
221.9157,Log,forwardKey was pressed.,
222.9,Log,Object Picked Up!,
222.9,Log,End of trial 10,
222.9,Log,Start of ITI period of trial10,
224.0152,Log,End of ITI period of trial10,
224.0152,Log,Cue start of trial 11,
226.0314,Log,Cue end of trial 11,
226.0314,Log,Start of delay period of trial 11,
230.0804,Log,End of delay period of trial 11,
230.8469,Log,leftTurn was pressed.,
232.0799,Log,leftTurn was pressed.,
232.5964,Log,forwardKey was pressed.,
