time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,moving
142.9518,44.56723,2,-1.696964,-0.000001,245.1176,0.000004,False
143.0185,44.56723,1.976456,-1.696964,-0.000001,245.1176,0.000004,False
143.0685,44.56723,1.917596,-1.696964,-0.000001,245.1176,0.000004,False
143.1184,44.56723,1.858736,-1.696964,-0.000001,245.1176,0.000004,False
143.1684,44.56723,1.741016,-1.696964,-0.000001,245.1176,0.000004,False
143.2184,44.56723,1.642916,-1.696964,-0.000001,245.1176,0.000004,False
143.2684,44.56723,1.466336,-1.696964,-0.000001,245.1176,0.000004,False
143.335,44.56723,1.25444,-1.696964,-0.000001,245.1176,0.000004,False
143.3851,44.56723,1.007228,-1.696964,-0.000001,245.1176,0.000004,False
143.435,44.56723,1.000289,-1.696964,-0.000001,245.1176,0,False
143.485,44.56723,1.000002,-1.696964,0,245.1176,0.000001,False
143.5517,44.56723,1,-1.696964,-0.000002,245.1176,0.000003,False
143.6016,44.56723,1,-1.696964,-0.000001,245.1176,0.000001,False
143.6516,44.56723,1,-1.696964,-0.000001,245.1176,0.000001,False
143.7016,44.56723,1,-1.696964,-0.000001,245.1176,0.000001,False
143.7683,44.56723,1,-1.696964,-0.000001,245.1176,0.000001,False
143.8183,44.56723,1,-1.696964,-0.000001,245.1176,0.000001,False
143.8682,44.56723,1,-1.696964,-0.000001,245.1176,0.000001,False
143.9182,44.56723,1,-1.696964,-0.000001,245.1176,0.000001,False
143.9682,44.56723,1,-1.696964,-0.000001,245.1176,0.000001,False
144.0182,44.56723,1,-1.696964,-0.000001,245.1176,0.000001,False
144.0682,44.56723,1,-1.696964,-0.000001,245.1176,0.000001,False
144.1349,44.56723,1,-1.696964,-0.000001,245.1176,0.000001,False
144.1848,44.56723,1,-1.696964,-0.000001,245.1176,0.000001,False
144.2348,44.56723,1,-1.696964,-0.000001,245.1176,0.000001,False
144.2848,44.56723,1,-1.696964,-0.000001,245.1176,0.000001,False
144.3348,44.56723,1,-1.696964,-0.000001,245.1176,0.000001,False
144.3847,44.56723,1,-1.696964,-0.000001,245.1176,0.000001,False
144.4347,44.56723,1,-1.696964,-0.000001,245.1176,0.000001,False
144.5014,44.56723,1,-1.696964,-0.000001,245.1176,0.000001,False
144.5514,44.56723,1,-1.696964,-0.000001,245.1176,0.000001,False
144.6013,44.56723,1,-1.696964,-0.000001,245.1176,0.000001,False
144.668,44.56723,1,-1.696964,-0.000001,245.1176,0.000001,False
144.718,44.56723,1,-1.696964,-0.000001,245.1176,0.000001,False
144.768,44.56723,1,-1.696964,-0.000001,245.1176,0.000001,False
144.818,44.56723,1,-1.696964,-0.000001,245.1176,0.000001,False
144.868,44.56723,1,-1.696964,-0.000001,245.1176,0.000001,False
144.9347,44.56723,1,-1.696964,-0.000001,245.1176,0.000001,False
144.9846,44.56723,1,-1.696964,-0.000001,245.1176,0.000001,False
145.0346,44.56723,1,-1.696964,-0.000001,245.1176,0.000001,False
