experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,targets,start_x,start_z,end_z,target_z,euclideanDistance,objectName,experimentStarted,objectNumber,navStartTime,navEndTime,navTime,timesObjectPresented,end_x,target_x,player_movement_location_0
AMT_standard,newtest1,1,1,1,1,22.39794,48.98,3,-40.6575,-18.87179,-69.89201,-69.0465,1.82189,barrel,22.39794,3,28.44646,48.98,20.53354,1,4.193449,5.807262,AMT_standard/newtest1/S001/trackers/player_movement_T001.csv
AMT_standard,newtest1,1,2,1,2,50.04129,79.75999,6,64.70886,-22.32084,-4.007961,-4.039861,2.549825,vase,22.39794,6,56.15641,79.75999,23.60358,1,-43.59232,-46.14195,AMT_standard/newtest1/S001/trackers/player_movement_T002.csv
AMT_standard,newtest1,1,3,1,3,80.85042,105.42,2,-12.94119,49.33603,-38.2923,-37.79763,2.4842,football,22.39794,2,86.89889,105.42,18.52111,1,-13.81459,-11.38014,AMT_standard/newtest1/S001/trackers/player_movement_T003.csv
AMT_standard,newtest1,1,4,1,4,106.5108,130.98,6,34.52811,59.10498,-1.670228,-4.039861,2.621205,vase,22.39794,6,112.5926,130.98,18.38744,2,-45.02143,-46.14195,AMT_standard/newtest1/S001/trackers/player_movement_T004.csv
AMT_standard,newtest1,1,5,1,5,132.0712,141.9,2,2.23071,-32.93404,-38.14991,-37.79763,2.391272,football,22.39794,2,138.103,141.9,3.796997,2,-9.01496,-11.38014,AMT_standard/newtest1/S001/trackers/player_movement_T005.csv
AMT_standard,newtest1,1,6,1,6,142.9518,162.62,3,44.56723,-1.696964,-67.3857,-69.0465,2.030946,barrel,22.39794,3,149.0169,162.62,13.60306,2,6.976234,5.807262,AMT_standard/newtest1/S001/trackers/player_movement_T006.csv
AMT_standard,newtest1,1,7,1,7,163.73,172.46,4,32.28266,51.72131,41.44843,39.806,2.505948,chair,22.39794,4,169.7785,172.46,2.681442,1,25.83195,23.93927,AMT_standard/newtest1/S001/trackers/player_movement_T007.csv
AMT_standard,newtest1,1,8,1,8,173.5109,186.4,5,30.56378,53.33451,55.05157,56.7494,2.324283,teddy,22.39794,5,179.5928,186.4,6.80722,1,32.77465,34.362,AMT_standard/newtest1/S001/trackers/player_movement_T008.csv
AMT_standard,newtest1,1,9,1,9,187.4742,203.34,4,-24.05686,56.49858,41.41624,39.806,2.445404,chair,22.39794,4,193.556,203.34,9.783997,2,22.09886,23.93927,AMT_standard/newtest1/S001/trackers/player_movement_T009.csv
AMT_standard,newtest1,1,10,1,10,204.4367,222.9,1,-9.890374,-20.07572,24.14738,25.89313,1.973112,backpack,22.39794,1,210.5352,222.9,12.36479,1,39.52317,40.4427,AMT_standard/newtest1/S001/trackers/player_movement_T010.csv
AMT_standard,newtest1,1,11,1,11,224.0152,238.88,5,36.49028,34.77683,55.11104,56.7494,2.458807,teddy,22.39794,5,230.0804,238.88,8.799576,2,36.19543,34.362,AMT_standard/newtest1/S001/trackers/player_movement_T011.csv
AMT_standard,newtest1,1,12,1,12,239.9613,261.04,1,2.719909,25.40461,27.15762,25.89313,1.79588,backpack,22.39794,1,246.0432,261.04,14.99681,2,39.16746,40.4427,AMT_standard/newtest1/S001/trackers/player_movement_T012.csv
AMT_standard,newtest1,1,13,2,1,262.1392,321.56,3,37.51645,-6.47609,-16.02981,-69.0465,62.74446,barrel,22.39794,3,268.221,321.56,53.33896,3,39.36464,5.807262,AMT_standard/newtest1/S001/trackers/player_movement_T013.csv
AMT_standard,newtest1,1,14,2,2,322.641,358.62,4,56.06855,-26.71322,9.62314,39.806,32.75261,chair,22.39794,4,328.7061,358.62,29.91385,3,11.22205,23.93927,AMT_standard/newtest1/S001/trackers/player_movement_T014.csv
AMT_standard,newtest1,1,15,2,3,359.7152,407.42,4,42.11795,-23.04534,15.23042,39.806,26.44243,chair,22.39794,4,365.7971,407.42,41.62292,4,33.69853,23.93927,AMT_standard/newtest1/S001/trackers/player_movement_T015.csv
AMT_standard,newtest1,1,16,2,4,408.5199,451.86,6,10.82647,-23.08533,-43.34345,-4.039861,56.90617,vase,22.39794,6,414.5685,451.86,37.2915,3,-4.9893,-46.14195,AMT_standard/newtest1/S001/trackers/player_movement_T016.csv
AMT_standard,newtest1,1,17,2,5,452.909,495.72,6,30.67297,-52.22038,-46.80704,-4.039861,84.34905,vase,22.39794,6,458.9742,495.72,36.74579,4,26.56108,-46.14195,AMT_standard/newtest1/S001/trackers/player_movement_T017.csv
AMT_standard,newtest1,1,18,2,6,496.8149,536.52,2,-47.27066,-69.37176,8.608305,-37.79763,58.85799,football,22.39794,2,502.8967,536.52,33.62326,3,-47.58445,-11.38014,AMT_standard/newtest1/S001/trackers/player_movement_T018.csv
AMT_standard,newtest1,1,19,2,7,537.5882,571.18,5,12.60266,-77.90328,-19.04991,56.7494,81.58585,teddy,22.39794,5,543.6534,571.18,27.52661,3,4.183953,34.362,AMT_standard/newtest1/S001/trackers/player_movement_T019.csv
AMT_standard,newtest1,1,20,2,8,572.2464,603.9,5,-75.08811,33.75645,58.73051,56.7494,40.87206,teddy,22.39794,5,578.3448,603.9,25.55511,4,-6.462019,34.362,AMT_standard/newtest1/S001/trackers/player_movement_T020.csv
