timestamp,log_type,message,stacktrace
7.368358,Log,[<b><color=#AD477C>UXF</color></b>] Beginning session.,
7.791854,Log,Start message send,
7.791854,Log,Cue start of trial 1,
9.798661,Log,Cue end of trial 1,
9.798661,Log,Start of delay period of trial1,
13.80459,Log,End of delay period of trial 1,
37.06,Log,Object Picked Up!,
37.06,Log,End of trial 1,
37.06,Log,Start of ITI period of trial1,
43.06982,Log,End of ITI period of trial1,
43.06982,Log,Cue start of trial 2,
45.0763,Log,Cue end of trial 2,
45.0763,Log,Start of delay period of trial2,
49.08246,Log,End of delay period of trial 2,
65.64,Log,Object Picked Up!,
65.64,Log,End of trial 2,
65.64,Log,Start of ITI period of trial2,
71.64756,Log,End of ITI period of trial2,
71.64756,Log,Cue start of trial 3,
73.65436,Log,Cue end of trial 3,
73.65436,Log,Start of delay period of trial3,
77.66022,Log,End of delay period of trial 3,
90.24,Log,Object Picked Up!,
90.24,Log,End of trial 3,
90.24,Log,Start of ITI period of trial3,
96.24689,Log,End of ITI period of trial3,
96.24689,Log,Cue start of trial 4,
98.25346,Log,Cue end of trial 4,
98.25346,Log,Start of delay period of trial4,
102.2596,Log,End of delay period of trial 4,
111.46,Log,Object Picked Up!,
111.46,Log,End of trial 4,
111.46,Log,Start of ITI period of trial4,
117.4719,Log,End of ITI period of trial4,
117.4719,Log,Cue start of trial 5,
119.4785,Log,Cue end of trial 5,
119.4785,Log,Start of delay period of trial5,
123.4846,Log,End of delay period of trial 5,
139.36,Log,Object Picked Up!,
139.36,Log,End of trial 5,
139.36,Log,Start of ITI period of trial5,
145.3693,Log,End of ITI period of trial5,
145.3693,Log,Cue start of trial 6,
147.3758,Log,Cue end of trial 6,
147.3758,Log,Start of delay period of trial6,
151.382,Log,End of delay period of trial 6,
177.4,Log,Object Picked Up!,
177.4,Log,End of trial 6,
177.4,Log,Start of ITI period of trial6,
183.4104,Log,End of ITI period of trial6,
183.4104,Log,Cue start of trial 7,
185.417,Log,Cue end of trial 7,
185.417,Log,Start of delay period of trial7,
189.4231,Log,End of delay period of trial 7,
198.42,Log,Object Picked Up!,
198.42,Log,End of trial 7,
198.42,Log,Start of ITI period of trial7,
204.4273,Log,End of ITI period of trial7,
204.4273,Log,Cue start of trial 8,
206.4338,Log,Cue end of trial 8,
206.4338,Log,Start of delay period of trial8,
210.4399,Log,End of delay period of trial 8,
226.32,Log,Object Picked Up!,
226.32,Log,End of trial 8,
226.32,Log,Start of ITI period of trial8,
232.3315,Log,End of ITI period of trial8,
232.3315,Log,Cue start of trial 9,
234.338,Log,Cue end of trial 9,
234.338,Log,Start of delay period of trial9,
238.3442,Log,End of delay period of trial 9,
255.18,Log,Object Picked Up!,
255.18,Log,End of trial 9,
255.18,Log,Start of ITI period of trial9,
261.187,Log,End of ITI period of trial9,
261.187,Log,Cue start of trial 10,
263.1871,Log,Cue end of trial 10,
263.1871,Log,Start of delay period of trial10,
267.1927,Log,End of delay period of trial 10,
280.02,Log,Object Picked Up!,
280.02,Log,End of trial 10,
280.02,Log,Start of ITI period of trial10,
286.0295,Log,End of ITI period of trial10,
286.0295,Log,Cue start of trial 11,
288.0359,Log,Cue end of trial 11,
288.0359,Log,Start of delay period of trial11,
292.0422,Log,End of delay period of trial 11,
314.98,Log,Object Picked Up!,
314.98,Log,End of trial 11,
314.98,Log,Start of ITI period of trial11,
320.9878,Log,End of ITI period of trial11,
320.9878,Log,Cue start of trial 12,
322.9944,Log,Cue end of trial 12,
322.9944,Log,Start of delay period of trial12,
327.0006,Log,End of delay period of trial 12,
343.12,Log,Object Picked Up!,
343.12,Log,End of trial 12,
343.12,Log,Start of ITI period of trial12,
349.1284,Log,End of ITI period of trial12,
349.1284,Log,Cue start of trial 13,
351.1352,Log,Cue end of trial 13,
351.1352,Log,Start of delay period of trial13,
355.141,Log,End of delay period of trial 13,
368.2013,Log,Confirm button pressed: trial13,
375.68,Log,Object Picked Up!,
375.68,Log,End of trial 13,
375.68,Log,Start of ITI period of trial13,
381.6913,Log,End of ITI period of trial13,
381.6913,Log,Cue start of trial 14,
383.6978,Log,Cue end of trial 14,
383.6978,Log,Start of delay period of trial14,
387.704,Log,End of delay period of trial 14,
396.9869,Log,Confirm button pressed: trial14,
416.6,Log,Object Picked Up!,
416.6,Log,End of trial 14,
416.6,Log,Start of ITI period of trial14,
422.6069,Log,End of ITI period of trial14,
422.6069,Log,Cue start of trial 15,
424.6135,Log,Cue end of trial 15,
424.6135,Log,Start of delay period of trial15,
428.6197,Log,End of delay period of trial 15,
446.7411,Log,Confirm button pressed: trial15,
459.9,Log,Object Picked Up!,
459.9,Log,End of trial 15,
459.9,Log,Start of ITI period of trial15,
465.911,Log,End of ITI period of trial15,
465.911,Log,Cue start of trial 16,
467.9178,Log,Cue end of trial 16,
467.9178,Log,Start of delay period of trial16,
471.9238,Log,End of delay period of trial 16,
499.0853,Log,Confirm button pressed: trial16,
509.8,Log,Object Picked Up!,
509.8,Log,End of trial 16,
509.8,Log,Start of ITI period of trial16,
515.811,Log,End of ITI period of trial16,
515.811,Log,Cue start of trial 17,
517.8176,Log,Cue end of trial 17,
517.8176,Log,Start of delay period of trial17,
521.8241,Log,End of delay period of trial 17,
537.7998,Log,Confirm button pressed: trial17,
549.52,Log,Object Picked Up!,
549.52,Log,End of trial 17,
549.52,Log,Start of ITI period of trial17,
555.5325,Log,End of ITI period of trial17,
555.5325,Log,Cue start of trial 18,
557.5391,Log,Cue end of trial 18,
557.5391,Log,Start of delay period of trial18,
561.5457,Log,End of delay period of trial 18,
574.6329,Log,Confirm button pressed: trial18,
583.76,Log,Object Picked Up!,
583.76,Log,End of trial 18,
583.76,Log,Start of ITI period of trial18,
589.7688,Log,End of ITI period of trial18,
589.7688,Log,Cue start of trial 19,
591.7754,Log,Cue end of trial 19,
591.7754,Log,Start of delay period of trial19,
595.7816,Log,End of delay period of trial 19,
605.7796,Log,Confirm button pressed: trial19,
612.72,Log,Object Picked Up!,
612.72,Log,End of trial 19,
612.72,Log,Start of ITI period of trial19,
618.7285,Log,End of ITI period of trial19,
618.7285,Log,Cue start of trial 20,
620.7352,Log,Cue end of trial 20,
620.7352,Log,Start of delay period of trial20,
624.7412,Log,End of delay period of trial 20,
638.8912,Log,Confirm button pressed: trial20,
642.28,Log,Object Picked Up!,
642.28,Log,End of trial 20,
642.28,Log,Start of ITI period of trial20,
648.2924,Log,End of ITI period of trial20,
648.2924,Log,Cue start of trial 21,
650.2987,Log,Cue end of trial 21,
650.2987,Log,Start of delay period of trial21,
654.3049,Log,End of delay period of trial 21,
660.3593,Log,Confirm button pressed: trial21,
680.78,Log,Object Picked Up!,
680.78,Log,End of trial 21,
680.78,Log,Start of ITI period of trial21,
686.7916,Log,End of ITI period of trial21,
686.7916,Log,Cue start of trial 22,
688.7982,Log,Cue end of trial 22,
688.7982,Log,Start of delay period of trial22,
692.8043,Log,End of delay period of trial 22,
700.1362,Log,Confirm button pressed: trial22,
703.58,Log,Object Picked Up!,
703.58,Log,End of trial 22,
703.58,Log,Start of ITI period of trial22,
709.5858,Log,End of ITI period of trial22,
709.5858,Log,Cue start of trial 23,
711.5923,Log,Cue end of trial 23,
711.5923,Log,Start of delay period of trial23,
715.5984,Log,End of delay period of trial 23,
723.3886,Log,Confirm button pressed: trial23,
736.26,Log,Object Picked Up!,
736.26,Log,End of trial 23,
736.26,Log,Start of ITI period of trial23,
742.2672,Log,End of ITI period of trial23,
742.2672,Log,Cue start of trial 24,
744.2734,Log,Cue end of trial 24,
744.2734,Log,Start of delay period of trial24,
748.2796,Log,End of delay period of trial 24,
766.5748,Log,Confirm button pressed: trial24,
787.66,Log,Object Picked Up!,
787.66,Log,End of trial 24,
787.66,Log,Start of ITI period of trial24,
793.6666,Log,End of ITI period of trial24,
793.6666,Log,Cue start of trial 25,
795.6732,Log,Cue end of trial 25,
795.6732,Log,Start of delay period of trial25,
799.6794,Log,End of delay period of trial 25,
813.5795,Log,Confirm button pressed: trial25,
828.58,Log,Object Picked Up!,
828.58,Log,End of trial 25,
828.58,Log,Start of ITI period of trial25,
834.5892,Log,End of ITI period of trial25,
834.5892,Log,Cue start of trial 26,
836.5959,Log,Cue end of trial 26,
836.5959,Log,Start of delay period of trial26,
840.6021,Log,End of delay period of trial 26,
847.1215,Log,Confirm button pressed: trial26,
861.56,Log,Object Picked Up!,
861.56,Log,End of trial 26,
861.56,Log,Start of ITI period of trial26,
867.5689,Log,End of ITI period of trial26,
867.5689,Log,Cue start of trial 27,
869.5755,Log,Cue end of trial 27,
869.5755,Log,Start of delay period of trial27,
873.5816,Log,End of delay period of trial 27,
889.8701,Log,Confirm button pressed: trial27,
898.88,Log,Object Picked Up!,
898.88,Log,End of trial 27,
898.88,Log,Start of ITI period of trial27,
904.888,Log,End of ITI period of trial27,
904.888,Log,Cue start of trial 28,
906.8947,Log,Cue end of trial 28,
906.8947,Log,Start of delay period of trial28,
910.9007,Log,End of delay period of trial 28,
929.8553,Log,Confirm button pressed: trial28,
933.4,Log,Object Picked Up!,
933.4,Log,End of trial 28,
933.4,Log,Start of ITI period of trial28,
939.4091,Log,End of ITI period of trial28,
939.4091,Log,Cue start of trial 29,
941.4156,Log,Cue end of trial 29,
941.4156,Log,Start of delay period of trial29,
945.4218,Log,End of delay period of trial 29,
966.2233,Log,Confirm button pressed: trial29,
978.48,Log,Object Picked Up!,
978.48,Log,End of trial 29,
978.48,Log,Start of ITI period of trial29,
984.4906,Log,End of ITI period of trial29,
984.4906,Log,Cue start of trial 30,
986.4971,Log,Cue end of trial 30,
986.4971,Log,Start of delay period of trial30,
990.5033,Log,End of delay period of trial 30,
1013.075,Log,Confirm button pressed: trial30,
1025.56,Log,Object Picked Up!,
1025.56,Log,End of trial 30,
1025.56,Log,Start of ITI period of trial30,
1031.572,Log,End of ITI period of trial30,
1031.572,Log,Cue start of trial 31,
1033.578,Log,Cue end of trial 31,
1033.578,Log,Start of delay period of trial31,
1037.584,Log,End of delay period of trial 31,
1053.769,Log,Confirm button pressed: trial31,
1057.02,Log,Object Picked Up!,
1057.02,Log,End of trial 31,
1057.02,Log,Start of ITI period of trial31,
1063.031,Log,End of ITI period of trial31,
1063.031,Log,Cue start of trial 32,
1065.037,Log,Cue end of trial 32,
1065.037,Log,Start of delay period of trial32,
1069.044,Log,End of delay period of trial 32,
1088.241,Log,Confirm button pressed: trial32,
1092.58,Log,Object Picked Up!,
1092.58,Log,End of trial 32,
1092.58,Log,Start of ITI period of trial32,
1098.586,Log,End of ITI period of trial32,
1098.586,Log,Cue start of trial 33,
1100.593,Log,Cue end of trial 33,
1100.593,Log,Start of delay period of trial33,
1104.599,Log,End of delay period of trial 33,
1122.158,Log,Confirm button pressed: trial33,
1136.86,Log,Object Picked Up!,
1136.86,Log,End of trial 33,
1136.86,Log,Start of ITI period of trial33,
1142.869,Log,End of ITI period of trial33,
1142.869,Log,Cue start of trial 34,
1144.876,Log,Cue end of trial 34,
1144.876,Log,Start of delay period of trial34,
1148.882,Log,End of delay period of trial 34,
1171.17,Log,Confirm button pressed: trial34,
1179.2,Log,Object Picked Up!,
1179.2,Log,End of trial 34,
1179.2,Log,Start of ITI period of trial34,
1185.208,Log,End of ITI period of trial34,
1185.208,Log,Cue start of trial 35,
1187.215,Log,Cue end of trial 35,
1187.215,Log,Start of delay period of trial35,
1191.221,Log,End of delay period of trial 35,
1198.713,Log,Confirm button pressed: trial35,
