experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,targets,start_x,start_z,end_z,target_z,euclideanDistance,objectName,experimentStarted,objectNumber,navStartTime,navEndTime,navTime,timesObjectPresented,end_x,target_x,player_movement_location_0
AMT_standard,alex,1,1,1,1,7.791854,37.06,6,45.03613,36.40776,-11.20093,-13.68714,2.733703,vase,,6,13.80459,37.06,23.25541,1,-56.47979,-57.61641,AMT_standard/alex/S001/trackers/player_movement_T001.csv
AMT_standard,alex,1,2,1,2,43.06982,65.64,1,-47.30451,-55.65533,15.57526,16.72532,1.975543,backpack,,1,49.08246,65.64,16.55754,1,-10.80815,-9.201869,AMT_standard/alex/S001/trackers/player_movement_T002.csv
AMT_standard,alex,1,3,1,3,71.64756,90.24,1,-1.498231,9.169959,14.77692,16.72532,2.057284,backpack,,1,77.66022,90.24,12.57978,2,-8.541446,-9.201869,AMT_standard/alex/S001/trackers/player_movement_T003.csv
AMT_standard,alex,1,4,1,4,96.24689,111.46,2,-27.98352,-65.53162,-32.11755,-30.05747,2.439103,football,,2,102.2596,111.46,9.200386,1,-5.50813,-4.202254,AMT_standard/alex/S001/trackers/player_movement_T004.csv
AMT_standard,alex,1,5,1,5,117.4719,139.36,6,-71.72132,40.60675,-11.68904,-13.68714,2.622363,vase,,6,123.4846,139.36,15.87536,2,-59.31476,-57.61641,AMT_standard/alex/S001/trackers/player_movement_T005.csv
AMT_standard,alex,1,6,1,6,145.3693,177.4,3,11.21775,-75.21274,49.38048,49.74199,2.064219,barrel,,3,151.382,177.4,26.01796,1,-8.976903,-11.00922,AMT_standard/alex/S001/trackers/player_movement_T006.csv
AMT_standard,alex,1,7,1,7,183.4104,198.42,4,48.07066,-69.7794,-62.63753,-60.97438,2.559856,chair,,4,189.4231,198.42,8.996857,1,13.85642,11.91045,AMT_standard/alex/S001/trackers/player_movement_T007.csv
AMT_standard,alex,1,8,1,8,204.4273,226.32,5,-33.30499,11.21237,-48.5647,-51.17581,2.626448,teddy,,5,210.4399,226.32,15.88005,1,-40.04025,-40.32364,AMT_standard/alex/S001/trackers/player_movement_T008.csv
AMT_standard,alex,1,9,1,9,232.3315,255.18,4,75.1291,1.148673,-61.07554,-60.97438,2.583762,chair,,4,238.3442,255.18,16.83578,2,14.49224,11.91045,AMT_standard/alex/S001/trackers/player_movement_T009.csv
AMT_standard,alex,1,10,1,10,261.187,280.02,2,77.36217,-7.049255,-28.71964,-30.05747,2.485574,football,,2,267.1927,280.02,12.82724,2,-2.107429,-4.202254,AMT_standard/alex/S001/trackers/player_movement_T010.csv
