timestamp,log_type,message,stacktrace
12.08335,Log,[<b><color=#AD477C>UXF</color></b>] Beginning session.,
13.90921,Log,Start message send,
13.90921,Log,Cue start of trial 1,
15.91589,Log,Cue end of trial 1,
15.91589,Log,Start of delay period of trial 1,
19.92212,Log,End of delay period of trial 1,
21.07446,Log,leftTurn was pressed.,
24.39314,Log,leftTurn was pressed.,
24.66408,Log,forwardKey was pressed.,
29.76721,Log,forwardKey was pressed.,
29.98243,Log,leftTurn was pressed.,
30.38518,Log,leftTurn was pressed.,
30.62817,Log,forwardKey was pressed.,
31.12,Log,Object Picked Up!,
31.12,Log,End of trial 1,
31.12,Log,Start of ITI period of trial1,
32.12117,Log,End of ITI period of trial1,
32.12117,Log,Cue start of trial 2,
34.12757,Log,Cue end of trial 2,
34.12757,Log,Start of delay period of trial 2,
38.13359,Log,End of delay period of trial 2,
39.28613,Log,leftTurn was pressed.,
42.14009,Log,leftTurn was pressed.,
44.74368,Log,forwardKey was pressed.,
55.63008,Log,forwardKey was pressed.,
55.88007,Log,rightTurn was pressed.,
58.69897,Log,rightTurn was pressed.,
59.16434,Log,Confirm button pressed: trial2,
59.64341,Log,leftTurn was pressed.,
61.19865,Log,leftTurn was pressed.,
61.46264,Log,forwardKey was pressed.,
65.41997,Log,forwardKey was pressed.,
65.63516,Log,leftTurn was pressed.,
66.1906,Log,leftTurn was pressed.,
66.78777,Log,forwardKey was pressed.,
67.68,Log,Object Picked Up!,
67.68,Log,End of trial 2,
67.68,Log,Start of ITI period of trial2,
68.69011,Log,End of ITI period of trial2,
68.69011,Log,Cue start of trial 3,
70.69672,Log,Cue end of trial 3,
70.69672,Log,Start of delay period of trial 3,
74.70284,Log,End of delay period of trial 3,
75.22366,Log,leftTurn was pressed.,
80.07715,Log,leftTurn was pressed.,
80.50729,Log,rightTurn was pressed.,
83.65264,Log,rightTurn was pressed.,
83.9303,Log,forwardKey was pressed.,
90.82467,Log,forwardKey was pressed.,
91.80363,Log,Confirm button pressed: trial3,
92.15778,Log,rightTurn was pressed.,
97.66357,Log,rightTurn was pressed.,
98.01792,Log,forwardKey was pressed.,
98.32,Log,Object Picked Up!,
98.32,Log,End of trial 3,
98.32,Log,Start of ITI period of trial3,
