time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,moving
68.69011,-36.65963,2,-24.91437,0,183.9862,-0.000001,False
68.69704,-36.65963,2,-24.91437,0,183.9862,-0.000001,False
68.70399,-36.65963,1.996076,-24.91437,0,183.9862,-0.000001,False
68.71092,-36.65963,1.996076,-24.91437,0,183.9862,-0.000001,False
68.71802,-36.65963,1.996076,-24.91437,0,183.9862,-0.000001,False
68.72496,-36.65963,1.988228,-24.91437,0,183.9862,-0.000001,False
68.7319,-36.65963,1.988228,-24.91437,0,183.9862,-0.000001,False
68.73883,-36.65963,1.988228,-24.91437,0,183.9862,-0.000001,False
68.74577,-36.65963,1.976456,-24.91437,0,183.9862,-0.000001,False
68.75271,-36.65963,1.976456,-24.91437,0,183.9862,-0.000001,False
68.75964,-36.65963,1.976456,-24.91437,0,183.9862,-0.000001,False
68.76658,-36.65963,1.96076,-24.91437,0,183.9862,-0.000001,False
68.77352,-36.65963,1.96076,-24.91437,0,183.9862,-0.000001,False
68.78046,-36.65963,1.94114,-24.91437,0,183.9862,-0.000001,False
68.78739,-36.65963,1.94114,-24.91437,0,183.9862,-0.000001,False
68.79433,-36.65963,1.94114,-24.91437,0,183.9862,-0.000001,False
68.80127,-36.65963,1.917596,-24.91437,0,183.9862,-0.000001,False
68.8082,-36.65963,1.917596,-24.91437,0,183.9862,-0.000001,False
68.81515,-36.65963,1.917596,-24.91437,0,183.9862,-0.000001,False
68.82208,-36.65963,1.890128,-24.91437,0,183.9862,-0.000001,False
68.82902,-36.65963,1.890128,-24.91437,0,183.9862,-0.000001,False
68.83596,-36.65963,1.890128,-24.91437,0,183.9862,-0.000001,False
68.8429,-36.65963,1.858736,-24.91437,0,183.9862,-0.000001,False
68.84983,-36.65963,1.858736,-24.91437,0,183.9862,-0.000001,False
68.85677,-36.65963,1.858736,-24.91437,0,183.9862,-0.000001,False
68.86371,-36.65963,1.82342,-24.91437,0,183.9862,-0.000001,False
68.87064,-36.65963,1.82342,-24.91437,0,183.9862,-0.000001,False
68.87758,-36.65963,1.82342,-24.91437,0,183.9862,-0.000001,False
68.88452,-36.65963,1.78418,-24.91437,0,183.9862,-0.000001,False
68.89146,-36.65963,1.78418,-24.91437,0,183.9862,-0.000001,False
68.89839,-36.65963,1.78418,-24.91437,0,183.9862,-0.000001,False
68.90533,-36.65963,1.741016,-24.91437,0,183.9862,-0.000001,False
68.91227,-36.65963,1.741016,-24.91437,0,183.9862,-0.000001,False
68.9192,-36.65963,1.741016,-24.91437,0,183.9862,-0.000001,False
68.92615,-36.65963,1.693928,-24.91437,0,183.9862,-0.000001,False
68.93308,-36.65963,1.693928,-24.91437,0,183.9862,-0.000001,False
68.94004,-36.65963,1.642916,-24.91437,0,183.9862,-0.000001,False
68.94698,-36.65963,1.642916,-24.91437,0,183.9862,-0.000001,False
68.95392,-36.65963,1.642916,-24.91437,0,183.9862,-0.000001,False
68.96085,-36.65963,1.58798,-24.91437,0,183.9862,-0.000001,False
68.9678,-36.65963,1.58798,-24.91437,0,183.9862,-0.000001,False
68.97473,-36.65963,1.58798,-24.91437,0,183.9862,-0.000001,False
68.98167,-36.65963,1.52912,-24.91437,0,183.9862,-0.000001,False
68.98861,-36.65963,1.52912,-24.91437,0,183.9862,-0.000001,False
68.99554,-36.65963,1.52912,-24.91437,0,183.9862,-0.000001,False
69.00248,-36.65963,1.466336,-24.91437,0,183.9862,-0.000001,False
