timestamp,log_type,message,stacktrace
16.35041,Log,[<b><color=#AD477C>UXF</color></b>] Beginning session.,
17.31538,Log,Start message send,
17.31538,Log,Cue start of trial 1,
19.32191,Log,Cue end of trial 1,
19.32191,Log,Start of delay period of trial 1,
23.32809,Log,End of delay period of trial 1,
23.828,Log,forwardKey was pressed.,
27.89663,Log,forwardKey was pressed.,
28.09105,Log,leftTurn was pressed.,
33.36806,Log,leftTurn was pressed.,
35.31188,Log,leftTurn was pressed.,
46.03206,Log,leftTurn was pressed.,
46.34446,Log,forwardKey was pressed.,
48.34,Log,Object Picked Up!,
48.34,Log,End of trial 1,
48.34,Log,Start of ITI period of trial1,
49.35094,Log,End of ITI period of trial1,
49.35094,Log,Cue start of trial 2,
51.35737,Log,Cue end of trial 2,
51.35737,Log,Start of delay period of trial 2,
55.36353,Log,End of delay period of trial 2,
55.75933,Log,rightTurn was pressed.,
59.48779,Log,Confirm button pressed: trial2,
66.87545,Log,rightTurn was pressed.,
67.64619,Log,rightTurn was pressed.,
69.09009,Log,rightTurn was pressed.,
69.73579,Log,forwardKey was pressed.,
72.0617,Log,forwardKey was pressed.,
72.24921,Log,leftTurn was pressed.,
75.51939,Log,leftTurn was pressed.,
75.98459,Log,rightTurn was pressed.,
76.30398,Log,rightTurn was pressed.,
76.57477,Log,forwardKey was pressed.,
77.75999,Log,Object Picked Up!,
77.75999,Log,End of trial 2,
77.75999,Log,Start of ITI period of trial2,
78.77579,Log,End of ITI period of trial2,
78.77579,Log,Cue start of trial 3,
80.78226,Log,Cue end of trial 3,
80.78226,Log,Start of delay period of trial 3,
84.78844,Log,End of delay period of trial 3,
86.56588,Log,Confirm button pressed: trial3,
87.0172,Log,leftTurn was pressed.,
91.64825,Log,leftTurn was pressed.,
92.14814,Log,forwardKey was pressed.,
96.63338,Log,forwardKey was pressed.,
96.95277,Log,leftTurn was pressed.,
97.55681,Log,leftTurn was pressed.,
97.83453,Log,forwardKey was pressed.,
98.7,Log,Object Picked Up!,
98.7,Log,End of trial 3,
98.7,Log,Start of ITI period of trial3,
