timestamp,log_type,message,stacktrace
23.28422,Log,[<b><color=#AD477C>UXF</color></b>] Beginning session.,
23.90911,Log,Start message send,
23.90911,Log,Cue start of trial 1,
25.91567,Log,Cue end of trial 1,
25.91567,Log,Start of delay period of trial1,
29.92879,Log,End of delay period of trial 1,
56.36,Log,Object Picked Up!,
56.36,Log,End of trial 1,
56.36,Log,Start of ITI period of trial1,
62.36281,Log,End of ITI period of trial1,
62.36281,Log,Cue start of trial 2,
64.37632,Log,Cue end of trial 2,
64.37632,Log,Start of delay period of trial2,
68.3825,Log,End of delay period of trial 2,
96.47435,Log,Confirm button pressed: trial2,
101.42,Log,Object Picked Up!,
101.42,Log,End of trial 2,
101.42,Log,Start of ITI period of trial2,
107.431,Log,End of ITI period of trial2,
107.431,Log,Cue start of trial 3,
109.4373,Log,Cue end of trial 3,
109.4373,Log,Start of delay period of trial3,
113.4434,Log,End of delay period of trial 3,
126.0658,Log,Confirm button pressed: trial3,
140.74,Log,Object Picked Up!,
140.74,Log,End of trial 3,
140.74,Log,Start of ITI period of trial3,
