timestamp,log_type,message,stacktrace
21.04048,Log,[<b><color=#AD477C>UXF</color></b>] Beginning session.,
23.5886,Log,Start message send,
23.5886,Log,Cue start of trial 1,
25.6021,Log,Cue end of trial 1,
25.6021,Log,Start of delay period of trial 1,
29.61521,Log,End of delay period of trial 1,
30.2748,Log,leftTurn was pressed.,
31.84395,Log,leftTurn was pressed.,
32.28138,Log,leftTurn was pressed.,
32.71877,Log,leftTurn was pressed.,
33.01733,Log,rightTurn was pressed.,
33.67687,Log,rightTurn was pressed.,
33.98242,Log,forwardKey was pressed.,
39.17586,Log,forwardKey was pressed.,
39.41888,Log,leftTurn was pressed.,
39.80074,Log,leftTurn was pressed.,
40.08543,Log,forwardKey was pressed.,
40.54,Log,Object Picked Up!,
40.54,Log,End of trial 1,
40.54,Log,Start of ITI period of trial1,
41.55041,Log,End of ITI period of trial1,
41.55041,Log,Cue start of trial 2,
43.57086,Log,Cue end of trial 2,
43.57086,Log,Start of delay period of trial 2,
47.57703,Log,End of delay period of trial 2,
48.00057,Log,leftTurn was pressed.,
49.29197,Log,leftTurn was pressed.,
49.54887,Log,rightTurn was pressed.,
51.02775,Log,rightTurn was pressed.,
51.35407,Log,forwardKey was pressed.,
58.15832,Log,forwardKey was pressed.,
58.48472,Log,Confirm button pressed: trial2,
58.8804,Log,leftTurn was pressed.,
62.00505,Log,leftTurn was pressed.,
62.38662,Log,forwardKey was pressed.,
65.75401,Log,forwardKey was pressed.,
66.00397,Log,rightTurn was pressed.,
66.89268,Log,rightTurn was pressed.,
67.10098,Log,forwardKey was pressed.,
67.92,Log,Object Picked Up!,
67.92,Log,End of trial 2,
67.92,Log,Start of ITI period of trial2,
68.92704,Log,End of ITI period of trial2,
68.92704,Log,Cue start of trial 3,
70.93359,Log,Cue end of trial 3,
70.93359,Log,Start of delay period of trial 3,
74.9398,Log,End of delay period of trial 3,
76.34229,Log,leftTurn was pressed.,
82.69525,Log,leftTurn was pressed.,
83.03542,Log,leftTurn was pressed.,
83.67421,Log,leftTurn was pressed.,
84.01447,Log,forwardKey was pressed.,
85.83352,Log,forwardKey was pressed.,
86.20151,Log,Confirm button pressed: trial3,
87.007,Log,forwardKey was pressed.,
87.24,Log,Object Picked Up!,
87.24,Log,End of trial 3,
87.24,Log,Start of ITI period of trial3,
